CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
16-01-0138-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO COBAN,KILÓMETRO.2 SALIDA A SAN JUAN CHAMELCO ZONA 8,77945104,PATRICIO NAJARRO ASENCIO,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,COLEGIO COBAN,COLEGIO,COLEGIO COBAN_KILÓMETRO.2_SALIDA_A_SAN_JUAN_CHAMELCO_ZONA_8,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
16-01-0139-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO VERAPAZ,KILÓMETRO 209.5 ENTRADA A LA CIUDAD,77367402,PATRICIO NAJARRO ASENCIO,GILMA DOLORES GUAY PAZ DE LEAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,COLEGIO PARTICULAR VERAPAZ,COLEGIO,COLEGIO PARTICULAR VERAPAZ_KILÓMETRO_209.5_ENTRADA_A_LA_CIUDAD,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
16-01-0140-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO LA INMACULADA,7A. AVENIDA 11-109 ZONA 6,78232301,PATRICIO NAJARRO ASENCIO,VIRGINIA SOLANO SERRANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,COLEGIO LA INMACULADA,COLEGIO,COLEGIO LA INMACULADA_7A._AVENIDA_11-109_ZONA_6,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
16-01-0141-46,16-005,ALTA VERAPAZ,COBAN,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A CALLE 11-10 ZONA 2,79514215,NORA LILIANA FIGUEROA HERNÁNDEZ,HÉCTOR ROLANDO CHUN POOU,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,ESCUELA NACIONAL CIENCIAS COMERCIALES,ESCUELA,ESCUELA NACIONAL CIENCIAS COMERCIALES_2A_CALLE_11-10_ZONA_2,NORTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
16-01-0142-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A AVE 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,INSTITUTO NORMAL DEL NORTE 'EMILIO ROSALES PONCE',INSTITUTO,INSTITUTO NORMAL DEL NORTE 'EMILIO ROSALES PONCE'_3A_AVE_6-23_ZONA_11,NORTE,OFICIAL_BILINGUE_DIARIO(REGULAR)
16-01-0143-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1-9 ZONA 3,57101061,PATRICIO NAJARRO ASENCIO,MYNOR GUSTAVO IPIÑA ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,COLEGIO PARTICULAR IMPERIAL,COLEGIO,COLEGIO PARTICULAR IMPERIAL_5A._CALLE_1-9_ZONA_3,NORTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
16-01-0155-46,16-031,ALTA VERAPAZ,COBAN,LICEO MODERNO LATINO,11 AVENIDA 5-17 ZONA 4,79522555,PATRICIO NAJARRO ASENCIO,HÉCTOR ARMANDO TEYUL CHEN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,LICEO MODERNO LATINO,LICEO,LICEO MODERNO LATINO_11_AVENIDA_5-17_ZONA_4,NORTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
16-01-0428-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"DIAGONAL 08 8-05 ZONA 8, BARRIO CANTÓN LAS CASAS",77930045,NORA LILIANA FIGUEROA HERNÁNDEZ,HELSON MARCO CHÉN GUTIERREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,"INSTITUTO NACIONAL DIVERSIFICADA_DIAGONAL_08_8-05_ZONA_8,_BARRIO_CANTÓN_LAS_CASAS",NORTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
16-01-0471-46,16-031,ALTA VERAPAZ,COBAN,COLEGIO DE INFORMÁTICA CENINFAV,12 AVENIDA. 2-12 ZONA 1,79545566,PATRICIO NAJARRO ASENCIO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,COLEGIO INFORMATICA CENINFAV,COLEGIO,COLEGIO INFORMATICA CENINFAV_12_AVENIDA._2-12_ZONA_1,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
16-01-0481-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ,LICEO AMERICANO DEL NORTE,LICEO,LICEO AMERICANO DEL NORTE_5TA._CALLE_2-23_ZONA_4,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
16-01-0483-46,16-031,ALTA VERAPAZ,COBAN,LICEO AMERICANO DEL NORTE,5TA. CALLE 2-23 ZONA 4,79514754,PATRICIO NAJARRO ASENCIO,JOSÉ CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,LICEO AMERICANO DEL NORTE,LICEO,LICEO AMERICANO DEL NORTE_5TA._CALLE_2-23_ZONA_4,NORTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
16-01-0558-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A. AVE. 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL NORMAL DEL NORTE EMILIO ROSALES PONCE,INSTITUTO,INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL NORMAL DEL NORTE EMILIO ROSALES PONCE_3A._AVE._6-23_ZONA_11,NORTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
16-01-0559-46,16-005,ALTA VERAPAZ,COBAN,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,3A. AVE. 6-23 ZONA 11,79521468,NORA LILIANA FIGUEROA HERNÁNDEZ,VICTOR HUGO DOMÍNGUEZ REYES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL EMILIO ROSALES PONCE,INSTITUTO,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL EMILIO ROSALES PONCE_3A._AVE._6-23_ZONA_11,NORTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
16-01-0563-46,16-031,ALTA VERAPAZ,COBAN,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,79522793,PATRICIO NAJARRO ASENCIO,DAVID WALDEMAR URRUTIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ,CENTRO FORMACION INTEGRAL LAS CONCHAS FMG,CENTRO,CENTRO FORMACION INTEGRAL LAS CONCHAS FMG_ALDEA_LAS_CONCHAS,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
16-01-0565-46,16-031,ALTA VERAPAZ,COBAN,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,DIAGNONAL 1 1-26 ZONA 1,51922050,PATRICIO NAJARRO ASENCIO,SAMANTHA GABRIELA DE LA CRUZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ,INSTITUTO SALUD DESARROLLO,INSTITUTO,INSTITUTO SALUD DESARROLLO_DIAGNONAL_1_1-26_ZONA_1,NORTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
