CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
00-01-0158-46,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO TÉCNICO PROGRESISTA CETECPRO,2A. AVENIDA 3-59,22512759,AMADO SALOMON FLORES PEREZ,IRMA AMPARO TOLEDO HERNANDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA NORTE,COLEGIO TECNICO PROGRESISTA CETECPRO,COLEGIO,COLEGIO TECNICO PROGRESISTA CETECPRO_2A._AVENIDA_3-59,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-01-0173-46,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMERICA,1A CALLE 2-64,22323424,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,INGRID MARIELA ESPINA ORELLANA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,INSTITUTO NORMAL PARA SEÑORITAS AMERICA,INSTITUTO,INSTITUTO NORMAL PARA SEÑORITAS AMERICA_1A_CALLE_2-64,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-01-0174-46,01-307,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL CENTRAL DE FORMACION SECRETARIAL,12 AVENIDA 9-27,22322985,NORMA ARACELY PALOMO FRANCO DE DIAZ,FRANCISCO RENÉ CONTRERAS AQUINO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,ESCUELA NACIONAL CENTRAL FORMACION SECRETARIAL,ESCUELA,ESCUELA NACIONAL CENTRAL FORMACION SECRETARIAL_12_AVENIDA_9-27,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-01-0176-46,01-301,CIUDAD CAPITAL,ZONA 1,INSTITUTO NACIONAL DE BACHILLERATO EN COMPUTACION,3A CALLE 15-45,22202223,LUCRECIA MARISOL CERMEÑO GONZÁLEZ,FREDY HUMBERTO GONZÁLEZ SANTISTEBAN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE,INSTITUTO NACIONAL BACHILLERATO EN COMPUTACION,INSTITUTO,INSTITUTO NACIONAL BACHILLERATO EN COMPUTACION_3A_CALLE_15-45,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-01-0178-46,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES,10A. AVENIDA 9-42,22320914,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,ESWIN NOE ROSALES LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE,ESCUELA NACIONAL CENTRAL CIENCIAS COMERCIALES,ESCUELA,ESCUELA NACIONAL CENTRAL CIENCIAS COMERCIALES_10A._AVENIDA_9-42,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-01-0179-46,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NORMAL PARA MAESTROS DE EDUCACIÓN MUSICAL JESUS MARIA ALVARADO,"10A. AVENIDA 2-24,",58068368,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,JULIO CESAR SANTOS CAMPOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,INTERMEDIA,DIARIO(REGULAR),GUATEMALA NORTE,ESCUELA NORMAL PARA MAESTROS MUSICAL JESUS MARIA ALVARADO,ESCUELA,"ESCUELA NORMAL PARA MAESTROS MUSICAL JESUS MARIA ALVARADO_10A._AVENIDA_2-24,",CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-01-0180-46,01-403,CIUDAD CAPITAL,ZONA 1,ESCUELA NACIONAL DE ADMINISTRACIÓN PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO,9A CALLE 2-36,42201837,CARLOS HUMBERTO GONZÁLEZ DE LEÓN,JULIO ERNESTO GONZÁLEZ HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),GUATEMALA NORTE,ESCUELA NACIONAL ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO,ESCUELA,ESCUELA NACIONAL ADMINISTRACION PUBLICA LIC. MANUEL GREGORIO LOPEZ SANTIAGO_9A_CALLE_2-36,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-01-0183-46,01-312,CIUDAD CAPITAL,ZONA 1,INSTITUTO NORMAL CASA CENTRAL,1A AVE. 13-63,22384684,AMADO SALOMON FLORES PEREZ,SILVIA LETICIA PERÉN POYÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,INSTITUTO NORMAL 'CASA CENTRAL',INSTITUTO,INSTITUTO NORMAL 'CASA CENTRAL'_1A_AVE._13-63,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-01-0186-46,01-315,CIUDAD CAPITAL,ZONA 1,LICEO TECNOLÓGICO GUATEMALA DE LA ASUNCIÓN,3A. CALLE 7-64,22329406,AURA MARINA GARRIDO MORALES,ELUBIA ANAYTE SIGUENZA MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,LICEO TECNOLOGICO GUATEMALA LA ASUNCIÓN,LICEO,LICEO TECNOLOGICO GUATEMALA LA ASUNCIÓN_3A._CALLE_7-64,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-01-0191-46,01-318,CIUDAD CAPITAL,ZONA 1,INSTITUTO MIXTO COACTEMALAN,11 CALLE 10-43,22325522,LESLIE AZUCENA MONZON TECUN,NANCY ALEIDA BANCES ARÉVALO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE,INSTITUTO COACTEMALAN,INSTITUTO,INSTITUTO COACTEMALAN_11_CALLE_10-43,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
