CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
00-05-0007-46,01-313,CIUDAD CAPITAL,ZONA 5,ESCUELA SUPERIOR DE COMERCIO Y ACADEMIA ROYAL,27 CALLE 23-14,23316077,ERICK GUILLERMO SANCHEZ MARTINEZ,BLANCA ULIANOVA ALVARADO IBÁÑEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ESCUELA SUPERIOR COMERCIO ACADEMIA ROYAL,ESCUELA,ESCUELA SUPERIOR COMERCIO ACADEMIA ROYAL_27_CALLE_23-14,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-0016-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO MARTA NOVELLA,27 AVENIDA. 27-45,23393125,ERICK GUILLERMO SANCHEZ MARTINEZ,ANA VIRGINIA RODAS VASQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO MARTA NOVELLA,COLEGIO,COLEGIO MARTA NOVELLA_27_AVENIDA._27-45,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-0025-46,01-314,CIUDAD CAPITAL,ZONA 5,COLEGIO MADRID,30 CALLE 22-38,35131111,PLINIO IVAN HERNANDEZ,JOSE RAFAEL VILLELA BOLLATH,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO MADRID,COLEGIO,COLEGIO MADRID_30_CALLE_22-38,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-0029-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO LOS NIÑOS DE SANTA MARIA,36 AVENIDA 12-37 JARDINES DE LA ASUNCIÓN,23349314,ERICK GUILLERMO SANCHEZ MARTINEZ,LAURA VERÓNICA MONZÓN CARCAMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO LOS NIÑOS SANTA MARIA,COLEGIO,COLEGIO LOS NIÑOS SANTA MARIA_36_AVENIDA_12-37_JARDINES_DE_LA_ASUNCIÓN,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-0031-46,01-504,CIUDAD CAPITAL,ZONA 5,INSTITUTO NACIONAL DE FORMACIÓN TÉCNICA,"28 AVENIDA ""A"" 33-50",41175147,DAVID SOTOJ SANCHEZ,MARIA EUGENIA SAN JOSE MENENDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,INSTITUTO NACIONAL FORMACIÓN TÉCNICA,INSTITUTO,"INSTITUTO NACIONAL FORMACIÓN TÉCNICA_28_AVENIDA_""A""_33-50",CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-05-0033-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO MIXTO SAN AGUSTIN,21 CALLE 32-38 COLONIA LA PALMITA,23356656,ERICK GUILLERMO SANCHEZ MARTINEZ,INGRID MARIELA RODRÍGUEZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO SAN AGUSTIN,COLEGIO,COLEGIO SAN AGUSTIN_21_CALLE_32-38_COLONIA_LA_PALMITA,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-0038-46,01-313,CIUDAD CAPITAL,ZONA 5,CENTRO ESCOLAR LILIAN PATRICIA DIEGUEZ DE ROSALES,11 AVENIDA ENTRE 26 Y 27 CALLE,46109455,ERICK GUILLERMO SANCHEZ MARTINEZ,FADUA CAMACHO DAVID,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,SEMIPRESENCIAL,GUATEMALA ORIENTE,CENTRO ESCOLAR LILIAN PATRICIA DIEGUEZ ROSALES,CENTRO,CENTRO ESCOLAR LILIAN PATRICIA DIEGUEZ ROSALES_11_AVENIDA_ENTRE_26_Y_27_CALLE,CENTRAL,PRIVADO_MONOLINGUE_SEMIPRESENCIAL
00-05-0040-46,01-314,CIUDAD CAPITAL,ZONA 5,ESCUELA PROFESIONAL SAN VICENTE DE PAUL,17 AVENIDA 31-00,23391272,PLINIO IVAN HERNANDEZ,KAREN AZUCENA PALMA MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ESCUELA PROFESIONAL SAN VICENTE PAUL,ESCUELA,ESCUELA PROFESIONAL SAN VICENTE PAUL_17_AVENIDA_31-00,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-0454-46,01-504,CIUDAD CAPITAL,ZONA 5,INSTITUTO NACIONAL DE FORMACION TECNICA,28 AVE. A 33-50,23355168,DAVID SOTOJ SANCHEZ,MARIA EUGENIA SAN JOSE MENENDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,INSTITUTO NACIONAL FORMACION TECNICA,INSTITUTO,INSTITUTO NACIONAL FORMACION TECNICA_28_AVE._A_33-50,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-05-0455-46,01-504,CIUDAD CAPITAL,ZONA 5,INSTITUTO DIVERSIFICADO CENTRAL DE MERCADOTECNIA Y PUBLICIDAD,42 AVENIDA 20-00,23350777,DAVID SOTOJ SANCHEZ,NORMA MARITZA RAMOS PÉREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,INSTITUTO DIVERSIFICADO CENTRAL MERCADOTECNIA PUBLICIDAD,INSTITUTO,INSTITUTO DIVERSIFICADO CENTRAL MERCADOTECNIA PUBLICIDAD_42_AVENIDA_20-00,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-05-0457-46,01-314,CIUDAD CAPITAL,ZONA 5,ESCUELA PROFESIONAL SAN VICENTE DE PAUL,17 AVE 31-00,22391272,PLINIO IVAN HERNANDEZ,KAREN AZUCENA PALMA MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,ESCUELA PROFESIONAL SAN VICENTE PAUL,ESCUELA,ESCUELA PROFESIONAL SAN VICENTE PAUL_17_AVE_31-00,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-2214-46,01-314,CIUDAD CAPITAL,ZONA 5,LICEO GUATEMALA,10A AVE. 33-03,22095400,PLINIO IVAN HERNANDEZ,ERICKA DEL ROSARIO DARDÓN PAREDES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,LICEO GUATEMALA,LICEO,LICEO GUATEMALA_10A_AVE._33-03,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-2481-46,01-313,CIUDAD CAPITAL,ZONA 5,INSTITUTO GUATEMALTECO ESPAÑOL,DIAGONAL 14 23-55 COL VIVIBIEN,23321393,ERICK GUILLERMO SANCHEZ MARTINEZ,MIGUEL JOSE RALON ROSALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,INSTITUTO GUATEMALTECO ESPAÑOL,INSTITUTO,INSTITUTO GUATEMALTECO ESPAÑOL_DIAGONAL_14_23-55_COL_VIVIBIEN,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-8233-46,01-313,CIUDAD CAPITAL,ZONA 5,CENTRO EDUCATIVO ACRÓPOLIS,12 CALLE B 40-81 JARDINES DE LA ASUNCION,23360138,ERICK GUILLERMO SANCHEZ MARTINEZ,BEATRIZ EUGENIA ORTEGA VELÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,CENTRO EDUCATIVO ACRÓPOLIS,CENTRO,CENTRO EDUCATIVO ACRÓPOLIS_12_CALLE_B_40-81_JARDINES_DE_LA_ASUNCION,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-8283-46,01-313,CIUDAD CAPITAL,ZONA 5,COLEGIO EVANGELICO MIXTO ADONAI,30  CALLE 16-00 SAN PEDRITO,23354466,ERICK GUILLERMO SANCHEZ MARTINEZ,ANA LUISA GUERRA CASTAÑEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO EVANGELICO ADONAI,COLEGIO,COLEGIO EVANGELICO ADONAI_30__CALLE_16-00_SAN_PEDRITO,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-05-8941-46,01-313,CIUDAD CAPITAL,ZONA 5,ESCUELA MILITAR DE MÚSICA MAESTRO RAFAEL ALVAREZ OVALLE,23 AVENIDA FINAL 32-36,44974290,ERICK GUILLERMO SANCHEZ MARTINEZ,LESLY ERASMO VELÁSQUEZ RIVERA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA ORIENTE,ESCUELA MILITAR MÚSICA MAESTRO RAFAEL ALVAREZ OVALLE,ESCUELA,ESCUELA MILITAR MÚSICA MAESTRO RAFAEL ALVAREZ OVALLE_23_AVENIDA_FINAL_32-36,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-09-0002-46,01-505,CIUDAD CAPITAL,ZONA 9,COLEGIO VALVERDE NO. 3,AVENIDA REFORMA 7-40,22093200,MARIA TERESA MILIAN AVILES,SANDRA ELIZABETH GUERRA BARRIENTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO VALVERDE NO. 3,COLEGIO,COLEGIO VALVERDE NO. 3_AVENIDA_REFORMA_7-40,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-09-0004-46,01-505,CIUDAD CAPITAL,ZONA 9,COLEGIO VALVERDE NO. 3,"8A CALLE, 7-48",22093200,MARIA TERESA MILIAN AVILES,GLORIA ISABEL GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO VALVERDE NO. 3,COLEGIO,"COLEGIO VALVERDE NO. 3_8A_CALLE,_7-48",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-09-0007-46,01-313,CIUDAD CAPITAL,ZONA 9,CENTRO EDUCATIVO EL VALLE,11 CALLE 7-35,23608220,ERICK GUILLERMO SANCHEZ MARTINEZ,EVELYN ELIZABET CALDERÓN MARTÍNEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,CENTRO EDUCATIVO EL VALLE,CENTRO,CENTRO EDUCATIVO EL VALLE_11_CALLE_7-35,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-09-0009-46,01-505,CIUDAD CAPITAL,ZONA 9,COLEGIO EDUCATIVO AMERICANO,5A. AVENIDA 13-18,23612765,MARIA TERESA MILIAN AVILES,JORGE MARIO BOCALETTI GUTIÉRREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,COLEGIO EDUCATIVO AMERICANO,COLEGIO,COLEGIO EDUCATIVO AMERICANO_5A._AVENIDA_13-18,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-09-0015-46,01-405,CIUDAD CAPITAL,ZONA 9,ESCUELA DE ESTUDIOS PENITENCIARIOS,"5A. AVENIDA ""A"" 13-28",22463777,BLANCA SARAI GUTIERREZ PINEDA,MAILEEN ZUCELY MARÍN LINARES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA ORIENTE,ESCUELA ESTUDIOS PENITENCIARIOS,ESCUELA,"ESCUELA ESTUDIOS PENITENCIARIOS_5A._AVENIDA_""A""_13-28",CENTRAL,OFICIAL_MONOLINGUE_FIN_DE_SEMANA
00-09-0016-46,01-646,CIUDAD CAPITAL,ZONA 9,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,6TA. CALLE 2-21 ZONA 9,22345938,GRISELDA LISETH FRANCO GUTIERREZ,LILIAN MARIBEL GARCÍA MÉRIDA,DIVERSIFICADO,OFICIAL,SIN ESPECIFICAR,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA ORIENTE,PROGRAMA NACIONAL EDUCACIÓN ALTERNATIVA -PRONEA-,OTRO,PROGRAMA NACIONAL EDUCACIÓN ALTERNATIVA -PRONEA-_6TA._CALLE_2-21_ZONA_9,CENTRAL,OFICIAL_MONOLINGUE_A_DISTANCIA
00-09-0019-46,01-503,CIUDAD CAPITAL,ZONA 9,INSTITUTO TECNOLÓGICO SUIZO GUATEMALTECO,2DA AVENIDA 9-03 ZONA 9 GUATEMALA,22999696,NANCY CAROLINA NAVAS GONZÁLEZ,TEMPORAL TITULOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE,INSTITUTO TECNOLÓGICO SUIZO GUATEMALTECO,INSTITUTO,INSTITUTO TECNOLÓGICO SUIZO GUATEMALTECO_2DA_AVENIDA_9-03_ZONA_9_GUATEMALA,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
