CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
00-11-0008-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO EDUCACIÓN EN LINEA,8A. AVENIDA 21-83,30193053,MIRIAM DEL CARMEN OROZCO HERNANDEZ,CARMEN MERCEDES ARCHILA SUY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,COLEGIO EN LINEA,COLEGIO,COLEGIO EN LINEA_8A._AVENIDA_21-83,CENTRAL,PRIVADO_MONOLINGUE_A_DISTANCIA
00-11-0010-46,01-210,CIUDAD CAPITAL,ZONA 11,TÉCNICO EN MECÁNICA AUTOMOTRIZ,"22 CALLE, 7-81",30477521,DINIZ ORALIA MORALES MUÑOZ,YOLANDA NOJ TUQUER,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,TECNICO EN MECANICA AUTOMOTRIZ,OTRO,"TECNICO EN MECANICA AUTOMOTRIZ_22_CALLE,_7-81",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-11-0012-46,01-209,CIUDAD CAPITAL,ZONA 11,INSTITUTO INDUSTRIAL CENTRAL GENERAL LAZARO CHACON GONZALEZ,"8A. AVENIDA 31-02, COLONIA LAS CHARCAS",22345703,MIRIAM DEL CARMEN OROZCO HERNANDEZ,EDGAR ENRIQUE ZAMORA ESPINOZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA SUR,INSTITUTO INDUSTRIAL CENTRAL GENERAL LAZARO CHACON GONZALEZ,INSTITUTO,"INSTITUTO INDUSTRIAL CENTRAL GENERAL LAZARO CHACON GONZALEZ_8A._AVENIDA_31-02,_COLONIA_LAS_CHARCAS",CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-11-0016-46,01-641,CIUDAD CAPITAL,ZONA 11,"CENTRO ESPECIALIZADO DE FORMACION PARA ADULTOS, CEFA","35 AVENIDA, 0-45, COLONIA TOLEDO",24964444,MILTON ALONSO ALVAREZ FUENTES,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA SUR,"CENTRO ESPECIALIZADO FORMACION PARA ADULTOS, CEFA",CENTRO,"CENTRO ESPECIALIZADO FORMACION PARA ADULTOS, CEFA_35_AVENIDA,_0-45,_COLONIA_TOLEDO",CENTRAL,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
00-11-0019-46,01-210,CIUDAD CAPITAL,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35 AVENIDA 0-45, PLAZA HELVETIA",24964444,DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,COLEGIO PANAMERICANO NO. 6,COLEGIO,"COLEGIO PANAMERICANO NO. 6_35_AVENIDA_0-45,_PLAZA_HELVETIA",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-11-0036-46,01-210,CIUDAD CAPITAL,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35 AVENIDA 0-45, PLAZA HELVETIA",24964444,DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,COLEGIO PANAMERICANO NO. 6,COLEGIO,"COLEGIO PANAMERICANO NO. 6_35_AVENIDA_0-45,_PLAZA_HELVETIA",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-11-0044-46,01-209,CIUDAD CAPITAL,ZONA 11,COLEGIO TECNOLÓGICO AMERICANO AMERITEC,"39 CALLE 10-91, LAS CHARCAS, AVENIDA FINAL",23242800,MIRIAM DEL CARMEN OROZCO HERNANDEZ,MARÍA ANDREA RUÍZ HERRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA SUR,COLEGIO TECNOLÓGICO AMERICANO AMERITEC,COLEGIO,"COLEGIO TECNOLÓGICO AMERICANO AMERITEC_39_CALLE_10-91,_LAS_CHARCAS,_AVENIDA_FINAL",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-11-0068-46,01-640,CIUDAD CAPITAL,ZONA 11,CEEX-FORT LIC. ELISEO DANIEL ALVAREZ NATARENO,51 CALLE 4-96 COLONIA CASTAÑAS ZONA 11,41206441,ELISEO DANIEL ALVAREZ NATARENO,LUIS ALFREDO ROJAS ROJAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,GUATEMALA SUR,CEEX-FORT LIC. ELISEO DANIEL ALVAREZ NATARENO,OTRO,CEEX-FORT LIC. ELISEO DANIEL ALVAREZ NATARENO_51_CALLE_4-96_COLONIA_CASTAÑAS_ZONA_11,CENTRAL,OFICIAL_MONOLINGUE_A_DISTANCIA
00-11-0071-46,01-210,CIUDAD CAPITAL,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35A. AVENIDA 0-45, PLAZA HELVETIA",45655822,DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,GUATEMALA SUR,COLEGIO PANAMERICANO NO. 6,COLEGIO,"COLEGIO PANAMERICANO NO. 6_35A._AVENIDA_0-45,_PLAZA_HELVETIA",CENTRAL,PRIVADO_MONOLINGUE_VIRTUAL_A_DISTANCIA
00-11-0076-46,01-210,CIUDAD CAPITAL,ZONA 11,COLEGIO PANAMERICANO NO. 6,"35A. AVENIDA 0-45, PLAZA HELVETIA",56874884,DINIZ ORALIA MORALES MUÑOZ,LESVIA LILIANA CHACATE TICURÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,VIRTUAL A DISTANCIA,GUATEMALA SUR,COLEGIO PANAMERICANO NO. 6,COLEGIO,"COLEGIO PANAMERICANO NO. 6_35A._AVENIDA_0-45,_PLAZA_HELVETIA",CENTRAL,PRIVADO_MONOLINGUE_VIRTUAL_A_DISTANCIA
