CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
18-01-0041-46,18-007,IZABAL,PUERTO BARRIOS,ESCUELA NACIONAL MIXTA DE CIENCIAS COMERCIALES DOMINGO JUARROS,14 CALLE Y 11 AVENIDA,79480444,EDVIN ADOLFO MORATAYA MENJIVAR,EDWIN NATALIO MARMOL LOAIZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL,ESCUELA NACIONAL MIXTA CIENCIAS COMERCIALES DOMINGO JUARROS,ESCUELA,ESCUELA NACIONAL MIXTA CIENCIAS COMERCIALES DOMINGO JUARROS_14_CALLE_Y_11_AVENIDA,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
18-01-0042-46,18-008,IZABAL,PUERTO BARRIOS,ESCUELA PARTICULAR MIXTA JUSTO RUFINO BARRIOS,8A AVENIDA ENTRE 17 Y 18 CALLES,79487032,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARIO RENÉ JUÁREZ SALGUERO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,ESCUELA PARTICULAR MIXTA JUSTO RUFINO BARRIOS,ESCUELA,ESCUELA PARTICULAR MIXTA JUSTO RUFINO BARRIOS_8A_AVENIDA_ENTRE_17_Y_18_CALLES,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
18-01-0045-46,18-008,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO CRISTO REY,10A CALLE ENTRE 8A Y 9A AVENIDAS,79488225,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,JAVIER ESTUARDO LÓPEZ TOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,COLEGIO PARTICULAR CRISTO REY,COLEGIO,COLEGIO PARTICULAR CRISTO REY_10A_CALLE_ENTRE_8A_Y_9A_AVENIDAS,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
18-01-0145-46,18-008,IZABAL,PUERTO BARRIOS,COLEGIO CRISTIANO PRIVADO MIXTO CRISTO VIENE,ALDEA ENTRE RIOS,40620273,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,GRICELDA MAGALY LEMUS CALDERON,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,COLEGIO CRISTIANO CRISTO VIENE,COLEGIO,COLEGIO CRISTIANO CRISTO VIENE_ALDEA_ENTRE_RIOS,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
18-01-0158-46,18-008,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO PIEDRAS NEGRAS,"COLONIA PIEDRAS NEGRAS, SANTO TOMAS DE CASTILLA",79453597,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,LASTENIA CARÍAS SAMAYOA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,COLEGIO PARTICULAR PIEDRAS NEGRAS,COLEGIO,"COLEGIO PARTICULAR PIEDRAS NEGRAS_COLONIA_PIEDRAS_NEGRAS,_SANTO_TOMAS_DE_CASTILLA",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
18-01-0162-46,18-008,IZABAL,PUERTO BARRIOS,COLEGIO PARTICULAR MIXTO PIEDRAS NEGRAS,"COLONIA PIEDRAS NEGRAS, SANTO TOMÁS DE CASTILLA",41051885,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,LASTENIA CARÍAS SAMAYOA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL,COLEGIO PARTICULAR PIEDRAS NEGRAS,COLEGIO,"COLEGIO PARTICULAR PIEDRAS NEGRAS_COLONIA_PIEDRAS_NEGRAS,_SANTO_TOMÁS_DE_CASTILLA",ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
18-01-0164-46,18-008,IZABAL,PUERTO BARRIOS,LICEO TÉCNICO GUATEMALTECO IDETI,ALDEA PLACA NO. 1,57843058,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,DAISY LORENA AGUIRRE VENTURA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,LICEO TECNICO GUATEMALTECO IDETI,LICEO,LICEO TECNICO GUATEMALTECO IDETI_ALDEA_PLACA_NO._1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
18-01-0168-46,18-008,IZABAL,PUERTO BARRIOS,COLEGIO CRISTIANO MARANATHA,7A. AVENIDA ENTRE 16A. Y 17A. CALLES,79429136,ELENA ELIZABETH SUCHITE GARNICA DE QUINTANILLA,MARÍA ANTONIA OSORIO OLIVA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,COLEGIO CRISTIANO MARANATHA,COLEGIO,COLEGIO CRISTIANO MARANATHA_7A._AVENIDA_ENTRE_16A._Y_17A._CALLES,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
18-01-0173-46,18-007,IZABAL,PUERTO BARRIOS,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,COLONIA SAN MANUEL,79480444,EDVIN ADOLFO MORATAYA MENJIVAR,ELIA ERSELI FRANCO CALDERÓN,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA_COLONIA_SAN_MANUEL,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
18-01-0174-46,18-007,IZABAL,PUERTO BARRIOS,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,COLONIA MARIA LUISA I,79484363,EDVIN ADOLFO MORATAYA MENJIVAR,ROSA ORFILIA ESQUIVEL AVILA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA_COLONIA_MARIA_LUISA_I,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
