CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
22-01-0014-46,22-013,JUTIAPA,JUTIAPA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,"COMPLEJO EDUCATIVO, BARRIO EL CONDOR",84412410,RONY ESMELTZER RAMOS QUIÑONEZ,MIRZA ELIZABETH ARAGÓN POLANCO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JUTIAPA,ESCUELA NACIONAL CIENCIAS COMERCIALES,ESCUELA,"ESCUELA NACIONAL CIENCIAS COMERCIALES_COMPLEJO_EDUCATIVO,_BARRIO_EL_CONDOR",ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
22-01-0017-46,22-003,JUTIAPA,JUTIAPA,COLEGIO TÉCNICO PROFESIONAL SAN CRISTOBAL,7A. CALLE 5-30 ZONA 1,84415300,REMBERTO RECINOS SARCEÑO,DELMY ASTRID MÉNDEZ POLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,COLEGIO TECNICO PROFESIONAL SAN CRISTOBAL,COLEGIO,COLEGIO TECNICO PROFESIONAL SAN CRISTOBAL_7A._CALLE_5-30_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
22-01-0019-46,22-001,JUTIAPA,JUTIAPA,INSTITUTO TÉCNICO PARTICULAR DE DIVERSIFICADO -INTECPADI-,"5A. CALLE 5-43, ZONA 1",84422960,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,RONI ERNESTO RECINOS ESTRADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,INSTITUTO TECNICO PARTICULAR DIVERSIFICADO -INTECPADI-,INSTITUTO,"INSTITUTO TECNICO PARTICULAR DIVERSIFICADO -INTECPADI-_5A._CALLE_5-43,_ZONA_1",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
22-01-0020-46,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO DE MAGISTERIO,1A. AVENIDA 4-64 ZONA 1,84421570,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ISRAEL JOSUÉ VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,COLEGIO PARTICULAR MAGISTERIO,COLEGIO,COLEGIO PARTICULAR MAGISTERIO_1A._AVENIDA_4-64_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
22-01-0022-46,22-037,JUTIAPA,JUTIAPA,INSTITUTO PRIVADO MIXTO DE EDUCACIÓN DIVERSIFICADA DE MERCADOTECNIA Y PUBLICIDAD DE ORIENTE,5A. AVENIDA. 7-35 ZONA 1,84415300,SANDRA NINNETH BONILLA ARCHILA,JORGE MARIO AGUILAR RETANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA,INSTITUTO DIVERSIFICADA MERCADOTECNIA PUBLICIDAD ORIENTE,INSTITUTO,INSTITUTO DIVERSIFICADA MERCADOTECNIA PUBLICIDAD ORIENTE_5A._AVENIDA._7-35_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
22-01-0222-46,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO INTEGRAL EVOLUCION,7A. CALLE 8A. AVENIDA 7-49 ZONA 3 BARRIO EL CHAPARRON,73131720,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,MIGUEL ANGEL MARTINEZ DE LA VEGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JUTIAPA,COLEGIO PARTICULAR INTEGRAL EVOLUCION,COLEGIO,COLEGIO PARTICULAR INTEGRAL EVOLUCION_7A._CALLE_8A._AVENIDA_7-49_ZONA_3_BARRIO_EL_CHAPARRON,ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
22-01-0254-46,22-001,JUTIAPA,JUTIAPA,LICEO CREZCO APRENDIENDO,"7A. CALLE ENTRE 6A. Y 7A. AVENIDA ZONA 3, BARRIO EL CHAPARRON",84422630,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,CINDY VIOLETA MANSILLA ARROYO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,LICEO CREZCO APRENDIENDO,LICEO,"LICEO CREZCO APRENDIENDO_7A._CALLE_ENTRE_6A._Y_7A._AVENIDA_ZONA_3,_BARRIO_EL_CHAPARRON",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
22-01-0255-46,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO DE MAGISTERIO,1RA. AVENIDA 4-64 ZONA 1,84421570,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,JORGE OMAR VÁSQUEZ LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,COLEGIO PARTICULAR MAGISTERIO,COLEGIO,COLEGIO PARTICULAR MAGISTERIO_1RA._AVENIDA_4-64_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
22-01-0261-46,22-001,JUTIAPA,JUTIAPA,COLEGIO PARTICULAR MIXTO EL PILAR,5TA. CALLE 5-09 ZONA 1,84463970,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,MANUEL ESTUARDO VALDÉZ PAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,COLEGIO PARTICULAR EL PILAR,COLEGIO,COLEGIO PARTICULAR EL PILAR_5TA._CALLE_5-09_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
22-01-0262-46,22-001,JUTIAPA,JUTIAPA,LICEO JUTIAPA,4TA. CALLE 1-53 ZONA 1,84410080,CECILIA ISABEL ALDECOA CASASOLA DE CASTRO,ALVARO CISNEROS QUIÑONEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JUTIAPA,LICEO JUTIAPA,LICEO,LICEO JUTIAPA_4TA._CALLE_1-53_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
