CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
17-01-0064-46,17-001,PETEN,FLORES,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA IXLU,40815948,RODOLFO MEDINA,VICENTE AVELAR HERNÁNDEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA_ALDEA_IXLU,NORTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
17-01-0081-46,17-030,PETEN,FLORES,COLEGIO DE EDUCACIÓN MEDIA SAN ISIDRO,"ALDEA IXLU, FLORES",55164373,RODOLFO MEDINA,RUTILIA SALGUERO CASTRO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,PETÉN,COLEGIO MEDIA SAN ISIDRO,COLEGIO,"COLEGIO MEDIA SAN ISIDRO_ALDEA_IXLU,_FLORES",NORTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
17-01-0091-46,17-030,PETEN,FLORES,COLEGIO CRISTIANO EL-HASHAMAYIM,"7A. AVENIDA 1-65 ZONA 2, SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES",79261812,RODOLFO MEDINA,JORGE ULICES RUANO CANO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,COLEGIO CRISTIANO EL-HASHAMAYIM,COLEGIO,"COLEGIO CRISTIANO EL-HASHAMAYIM_7A._AVENIDA_1-65_ZONA_2,_SANTA_ELENA_DE_LA_CRUZ_SANTA_ELENA_DE_LA_CRUZ_FLORES",NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
17-01-0106-46,17-001,PETEN,FLORES,INSTITUTO TÉCNICO DE EDUCACIÓN MEDIA DE PETEN ITEMP,6TA. AVE.  ENTRE 3RA. Y 4TA. CALLE  ZONA 1 SANTA ELENA,50357085,RODOLFO MEDINA,GLADIS CELENI ZAMORA MORALES DE CHOC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN,INSTITUTO TECNICO MEDIA PETEN ITEMP,INSTITUTO,INSTITUTO TECNICO MEDIA PETEN ITEMP_6TA._AVE.__ENTRE_3RA._Y_4TA._CALLE__ZONA_1_SANTA_ELENA,NORTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
17-01-0110-46,17-030,PETEN,FLORES,CENTRO EDUCATIVO CRISTIANO GÉNESIS,ALDEA  PAXCAMAN,50174360,RODOLFO MEDINA,ALMEIDA ESTER BIN TENI,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,CENTRO EDUCATIVO CRISTIANO GÉNESIS,CENTRO,CENTRO EDUCATIVO CRISTIANO GÉNESIS_ALDEA__PAXCAMAN,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
17-01-0124-46,17-030,PETEN,FLORES,COLEGIO DE EDUCACIÓN MEDIA SAN ISIDRO,CASERIO IXLU,57817572,RODOLFO MEDINA,ORISELDA GUTIÉRREZ MOLINA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),PETÉN,COLEGIO EDUCACIÓN MEDIA SAN ISIDRO,COLEGIO,COLEGIO EDUCACIÓN MEDIA SAN ISIDRO_CASERIO_IXLU,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
17-01-0128-46,17-030,PETEN,FLORES,INSTITUTO COMERCIAL VILLA CONCEPCION,"AVENIDA ZONA 2, DE LA PRIMERA LOTIFICACION SANTA ELENA, FLORES, PETEN",74248180,RODOLFO MEDINA,BÁRBARA MARIANELA MELGAR CEBALLOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN,INSTITUTO COMERCIAL VILLA CONCEPCION,INSTITUTO,"INSTITUTO COMERCIAL VILLA CONCEPCION_AVENIDA_ZONA_2,_DE_LA_PRIMERA_LOTIFICACION_SANTA_ELENA,_FLORES,_PETEN",NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
17-01-0136-46,17-030,PETEN,FLORES,INSTITUTO TECNOLÓGICO HOWARD W. HUNTER.,"0 CALLE 0-65 ZONA 1, CALZADA VIRGILIO RODRIGUEZ MACAL SANTA ELENA DE LA CRUZ",79262016,RODOLFO MEDINA,OLGA MARINA VÉLIZ PALENCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),PETÉN,INSTITUTO TECNOLÓGICO HOWARD W. HUNTER.,INSTITUTO,"INSTITUTO TECNOLÓGICO HOWARD W. HUNTER._0_CALLE_0-65_ZONA_1,_CALZADA_VIRGILIO_RODRIGUEZ_MACAL_SANTA_ELENA_DE_LA_CRUZ",NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
17-01-0139-46,17-030,PETEN,FLORES,COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,8ª. AVENIDA 3-14 ANTIGUA POBLACION 2 SANTA ELENA DE LA CRUZ SANTA ELENA DE LA CRUZ FLORES,77970526,RODOLFO MEDINA,CARLOS ENRIQUE AUGUST VELIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),PETÉN,COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,COLEGIO,COLEGIO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI_8ª._AVENIDA_3-14_ANTIGUA_POBLACION_2_SANTA_ELENA_DE_LA_CRUZ_SANTA_ELENA_DE_LA_CRUZ_FLORES,NORTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
17-01-0153-46,17-048,PETEN,FLORES,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA-PRONEA-,SANTA ELENA,79262583,SANTIAGO CRUZ SERRANO,SANTIAGO CRUZ SERRANO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,PETÉN,PROGRAMA NACIONAL ALTERNATIVA-PRONEA-,OTRO,PROGRAMA NACIONAL ALTERNATIVA-PRONEA-_SANTA_ELENA,NORTE,OFICIAL_MONOLINGUE_A_DISTANCIA
