CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
09-01-0098-46,09-002,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PRIVADO MIXTO SUIZO QUETZALTENANGO,1RA CALLE 43-50 ZONA 8,79267367,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,MIRNA LETICIA CIFUENTES GODINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO SUIZO QUETZALTENANGO,COLEGIO,COLEGIO SUIZO QUETZALTENANGO_1RA_CALLE_43-50_ZONA_8,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
09-01-0125-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NACIONAL JACOBO ARBENZ GUZMÁN,"4A. CALLE 25-20, ZONA 3",41514439,JUAN CARLOS RONQUILLO DE LEON,JUAN CARLOS HERNÁNDEZ RÍOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO,INSTITUTO NACIONAL JACOBO ARBENZ GUZMÁN,INSTITUTO,"INSTITUTO NACIONAL JACOBO ARBENZ GUZMÁN_4A._CALLE_25-20,_ZONA_3",OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
09-01-0126-46,09-005,QUETZALTENANGO,QUETZALTENANGO,ESCUELA NACIONAL DE CIENCIAS COMERCIALES DE OCCIDENTE SECCIÓN NOCTURNA ALBERTO CARDENAS RODAS,5A CALLE 12-60 ZONA 3,59861622,JUAN CARLOS RONQUILLO DE LEON,MARÍA JOSEFINA MENDOZA ESCOBAR,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO,ESCUELA NACIONAL CIENCIAS COMERCIALES OCCIDENTE SECCIÓN NOCTURNA ALBERTO CARDENAS RODAS,ESCUELA,ESCUELA NACIONAL CIENCIAS COMERCIALES OCCIDENTE SECCIÓN NOCTURNA ALBERTO CARDENAS RODAS_5A_CALLE_12-60_ZONA_3,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
09-01-0131-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NORMAL PARA VARONES DE OCCIDENTE I.N.V.O,7MA. CALLE 29-25 ZONA 3,77611583,JUAN CARLOS RONQUILLO DE LEON,FRANCISCO MIGUEL TIRADO HUINAC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,INSTITUTO NORMAL PARA VARONES OCCIDENTE I.N.V.O,INSTITUTO,INSTITUTO NORMAL PARA VARONES OCCIDENTE I.N.V.O_7MA._CALLE_29-25_ZONA_3,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
09-01-0132-46,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO NORMAL PARA SEÑORITAS DE OCCIDENTE,14 AVENIDA A 0-36 ZONA 1,77612303,JUAN CARLOS RONQUILLO DE LEON,ROSELIA HAYDÉE LÓPEZ MONZÓN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,INSTITUTO NORMAL PARA SEÑORITAS OCCIDENTE,INSTITUTO,INSTITUTO NORMAL PARA SEÑORITAS OCCIDENTE_14_AVENIDA_A_0-36_ZONA_1,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
09-01-0134-46,09-002,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACIÓN DIVERSIFICADA AMERICANO,AVE. JESUS CASTILLO A-74 ZONA 1,77610735,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,LILIAM YOLANDA PEREYRA CASTILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,INSTITUTO DIVERSIFICADA 'AMERICANO',INSTITUTO,INSTITUTO DIVERSIFICADA 'AMERICANO'_AVE._JESUS_CASTILLO_A-74_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
09-01-0135-46,09-036,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO PRIVADO MIXTO DE EDUCACIÓN DIVERSIFICADA LICEO MODERNO,7A AVE. 6-45 ZONA 1,77614475,OBDULIO ROLANDO RUIZ ALVA,SIN ASIGNAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO,INSTITUTO DIVERSIFICADA LICEO MODERNO,INSTITUTO,INSTITUTO DIVERSIFICADA LICEO MODERNO_7A_AVE._6-45_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
09-01-0137-46,09-004,QUETZALTENANGO,QUETZALTENANGO,COLEGIO EVANGELICO BETHANIA,CALLE  CALLE 0-22 ZONA 1,77630164,DINA RUBI GONZALEZ DE LEON,FERNANDO DAVID RIVERA ESPAÑA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO EVANGELICO 'BETHANIA',COLEGIO,COLEGIO EVANGELICO 'BETHANIA'_CALLE__CALLE_0-22_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
09-01-0139-46,09-006,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE ESTUDIOS AVANZADOS DE OCCIDENTE,AVENIDA JESUS CASTILLO 1-81 ZONA 3,77611270,PEDRO GERÓNIMO SARAT CHAJ,MARÍA VALENTINA ANLEU DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,INSTITUTO ESTUDIOS AVANZADOS OCCIDENTE,INSTITUTO,INSTITUTO ESTUDIOS AVANZADOS OCCIDENTE_AVENIDA_JESUS_CASTILLO_1-81_ZONA_3,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
09-01-0140-46,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO PARA SEÑORITAS ENCARNACION ROSAL,12 AVE. 3-09 ZONA 1,77258985,WILSON RANFERI SIGUENZA LOPEZ,SARA JULIETA LÓPEZ MARTINEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO,COLEGIO PARA SEÑORITAS ENCARNACION ROSAL,COLEGIO,COLEGIO PARA SEÑORITAS ENCARNACION ROSAL_12_AVE._3-09_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
