CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
14-01-0077-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO ADOLFO V HALL,"KILOMETRO 161 ENTRADA A SANTA CRUZ DEL QUICHE, ANTIGUA ZONA MILITAR",77551548,JOSE OSCAR TIPAZ VELASQUEZ,ARAM ALBERT JORDÁN SANDOVAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ,INSTITUTO ADOLFO V HALL,INSTITUTO,"INSTITUTO ADOLFO V HALL_KILOMETRO_161_ENTRADA_A_SANTA_CRUZ_DEL_QUICHE,_ANTIGUA_ZONA_MILITAR",OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
14-01-0079-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA UTATLAN,"4A CALLE Y 6A-12, ZONA 5",77551551,GONZALO VENTURA LUX,LUIS HUMBERTO ECHEVERRÍA GIL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ,COLEGIO EVANGELICO METODISTA UTATLAN,COLEGIO,"COLEGIO EVANGELICO METODISTA UTATLAN_4A_CALLE_Y_6A-12,_ZONA_5",OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-01-0085-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77553814,JOSE OSCAR TIPAZ VELASQUEZ,MIRIAM MARCELINA ALVAREZ GRIJALVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ,INSTITUTO NORMAL JUAN LEON,INSTITUTO,INSTITUTO NORMAL JUAN LEON_12_CALLE_0-36_ZONA_5,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
14-01-0090-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MIXTO BILINGUE INTERCULTURAL Q´IJ,11A. CALLE 06-03 ZONA 1,77550476,GONZALO VENTURA LUX,FEDERICO HERNÁNDEZ ZAPETA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICHÉ,COLEGIO BILINGUE INTERCULTURAL Q´IJ,COLEGIO,COLEGIO BILINGUE INTERCULTURAL Q´IJ_11A._CALLE_06-03_ZONA_1,OCCIDENTE,PRIVADO_BILINGUE_FIN_DE_SEMANA
14-01-0108-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO TÉCNICO AVANZADO,4A. AVENIDA 20-174 ZONA 4,77554695,GONZALO VENTURA LUX,JACQUELINE ARGENTINA SOLARES MÉNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ,COLEGIO TECNICO AVANZADO,COLEGIO,COLEGIO TECNICO AVANZADO_4A._AVENIDA_20-174_ZONA_4,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-01-0112-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"20 CALLE FINAL ZONA 4, COLONIA LOS CELAJES",77554630,JOSE OSCAR TIPAZ VELASQUEZ,JUSTO RUFINO PEREIRA GONZÁLEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,"INSTITUTO NACIONAL DIVERSIFICADA_20_CALLE_FINAL_ZONA_4,_COLONIA_LOS_CELAJES",OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
14-01-0115-46,14-001,QUICHE,SANTA CRUZ DEL QUICHE,INSTITUTO NORMAL MIXTO JUAN DE LEON,12 CALLE 0-36 ZONA 5,77656620,JOSE OSCAR TIPAZ VELASQUEZ,JORGE HUMBERTO MOTTA CANO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ,INSTITUTO NORMAL JUAN LEON,INSTITUTO,INSTITUTO NORMAL JUAN LEON_12_CALLE_0-36_ZONA_5,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
14-01-0163-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO EVANGELICO METODISTA JOHN WESLEY,6TA. AVENIDA 00-002 DE LA ZONA 1,77563692,GONZALO VENTURA LUX,KARIN ROSALVA SOLÓRZANO PAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ,COLEGIO EVANGELICO METODISTA JOHN WESLEY,COLEGIO,COLEGIO EVANGELICO METODISTA JOHN WESLEY_6TA._AVENIDA_00-002_DE_LA_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-01-0166-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,LICEO MIXTO QUICHE,2A. AVENIDA 6-27 ZONA 5,77551705,GONZALO VENTURA LUX,PEM. SILVIA EMILIANA BARRIOS BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ,LICEO QUICHE,LICEO,LICEO QUICHE_2A._AVENIDA_6-27_ZONA_5,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-01-0167-46,14-036,QUICHE,SANTA CRUZ DEL QUICHE,COLEGIO MULTIEDUCATIVO LA REFORMA,16 CALLE 7-34 ZONA 4,77563633,GONZALO VENTURA LUX,CARLOS ROBERTO ARRIAGA DEL VALLE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,QUICHÉ,COLEGIO MULTIEDUCATIVO LA REFORMA,COLEGIO,COLEGIO MULTIEDUCATIVO LA REFORMA_16_CALLE_7-34_ZONA_4,OCCIDENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
