CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
14-20-0124-46,14-054,QUICHE,IXCAN,INSTITUTO NORMAL MIXTO CIENCIA Y ARTE,ZONA 1 PLAYA GRANDE,58908465,JERONIMO COC JUAREZ,TEODORO RAMÍREZ VELÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ NORTE,INSTITUTO NORMAL CIENCIA ARTE,INSTITUTO,INSTITUTO NORMAL CIENCIA ARTE_ZONA_1_PLAYA_GRANDE,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-20-0130-46,14-033,QUICHE,IXCAN,CENTRO EDUCATIVO ASOCIACION DE MAESTRO DE EDUCACIÓN RURAL DE GUATEMALA AMERG-IXCAN,"ZONA 1, PLAYA GRANDE",58747049,NAPOLEON FERNANDO XUC COC,MAURICIO YAT LUC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,QUICHÉ NORTE,CENTRO EDUCATIVO ASOCIACION MAESTRO RURAL GUATEMALA AMERG-IXCAN,CENTRO,"CENTRO EDUCATIVO ASOCIACION MAESTRO RURAL GUATEMALA AMERG-IXCAN_ZONA_1,_PLAYA_GRANDE",OCCIDENTE,PRIVADO_BILINGUE_FIN_DE_SEMANA
14-20-0134-46,14-054,QUICHE,IXCAN,INSTITUTO MIXTO DIVERSIFICADO POR COOPERATIVA WATAN,ALDEA ANGENIEROS,30701241,JERONIMO COC JUAREZ,JUAN GABRIEL JUAN SILVESTRE,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ NORTE,INSTITUTO DIVERSIFICADO POR COOPERATIVA WATAN,INSTITUTO,INSTITUTO DIVERSIFICADO POR COOPERATIVA WATAN_ALDEA_ANGENIEROS,OCCIDENTE,COOPERATIVA_BILINGUE_DIARIO(REGULAR)
14-20-0135-46,14-054,QUICHE,IXCAN,COLEGIO PRE UNIVERSITARIO INTERCULTURAL -COTPI-,ALDEA LOS ÁNGELES,48463453,JERONIMO COC JUAREZ,MAUDILIO HIGINIO PASCUAL FRANCISCO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ NORTE,COLEGIO PRE UNIVERSITARIO INTERCULTURAL -COTPI-,COLEGIO,COLEGIO PRE UNIVERSITARIO INTERCULTURAL -COTPI-_ALDEA_LOS_ÁNGELES,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-20-0140-46,14-054,QUICHE,IXCAN,INSTITUTO MIXTO DIVERSIFICADO POR COOPERATIVA DE ENSEÑANZA,COMUNIDAD PRIMAVERA  DEL IXCÁN,45660972,JERONIMO COC JUAREZ,BENITO DIEGO MATEO,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ NORTE,INSTITUTO DIVERSIFICADO POR COOPERATIVA ENSEÑANZA,INSTITUTO,INSTITUTO DIVERSIFICADO POR COOPERATIVA ENSEÑANZA_COMUNIDAD_PRIMAVERA__DEL_IXCÁN,OCCIDENTE,COOPERATIVA_MONOLINGUE_DIARIO(REGULAR)
14-20-0141-46,14-054,QUICHE,IXCAN,COLEGIO MIXTO OXLAJU B AQTUN,ALDEA SAN JUAN CHACTELA,57891607,JERONIMO COC JUAREZ,ANDRES QUIP CHAMÁN,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ NORTE,COLEGIO OXLAJU B AQTUN,COLEGIO,COLEGIO OXLAJU B AQTUN_ALDEA_SAN_JUAN_CHACTELA,OCCIDENTE,PRIVADO_BILINGUE_DIARIO(REGULAR)
14-20-0142-46,14-033,QUICHE,IXCAN,INSTITUTO TÉCNICO DIVERSIFICADO ASOCIATIVA AJ YICHKAN,"ZONA 1, PLAYA GRANDE",30340666,NAPOLEON FERNANDO XUC COC,JORGE CHITAY MAQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),QUICHÉ NORTE,INSTITUTO TÉCNICO DIVERSIFICADO ASOCIATIVA AJ YICHKAN,INSTITUTO,"INSTITUTO TÉCNICO DIVERSIFICADO ASOCIATIVA AJ YICHKAN_ZONA_1,_PLAYA_GRANDE",OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-20-0143-46,14-054,QUICHE,IXCAN,LICEO TECNOLÓGICO DOCTOR JUAN JOSÉ ARÉVALO BERMEJO,2A. AVENIDA. Y 3A. CALLE ZONA 1,45638550,JERONIMO COC JUAREZ,NELSON ALFONSO CHOC SAM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ NORTE,LICEO TECNOLÓGICO DOCTOR JUAN JOSÉ ARÉVALO BERMEJO,LICEO,LICEO TECNOLÓGICO DOCTOR JUAN JOSÉ ARÉVALO BERMEJO_2A._AVENIDA._Y_3A._CALLE_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-20-0145-46,14-034,QUICHE,IXCAN,COLEGIO DIVERSIFICADO MAYALAND,ALDEA MAYALÁN,40909816,ANTONIO CALIXTO IXCOTAYAC LUX,CAMILO RAMIREZ MATIAS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUICHÉ NORTE,COLEGIO DIVERSIFICADO MAYALAND,COLEGIO,COLEGIO DIVERSIFICADO MAYALAND_ALDEA_MAYALÁN,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
14-20-0147-46,14-054,QUICHE,IXCAN,ESCUELA NORMAL BILINGÜE INTERCULTURAL MAYAB´ TIJOB´AL OXLAJUJ TZÍ´,PARCELAMIENTO  XALBAL,48617091,JERONIMO COC JUAREZ,JOSÉ ANDRADE GABRIEL AGUILAR,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUICHÉ NORTE,ESCUELA NORMAL BILINGÜE INTERCULTURAL MAYAB´ TIJOB´AL OXLAJUJ TZÍ´,ESCUELA,ESCUELA NORMAL BILINGÜE INTERCULTURAL MAYAB´ TIJOB´AL OXLAJUJ TZÍ´_PARCELAMIENTO__XALBAL,OCCIDENTE,OFICIAL_BILINGUE_DIARIO(REGULAR)
