CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
11-01-0027-46,11-017,RETALHULEU,RETALHULEU,CENTRO EDUCATIVO JUAN PABLO II,"7A. CALLE 4-47, ZONA 1",77104900,MIGUEL ANGEL ARMAS ROCHA,PEDRO EDUARDO CHAVEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU,CENTRO EDUCATIVO JUAN PABLO II,CENTRO,"CENTRO EDUCATIVO JUAN PABLO II_7A._CALLE_4-47,_ZONA_1",SUR,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
11-01-0074-46,11-004,RETALHULEU,RETALHULEU,COLEGIO PARTICULAR MIXTO D ANTONI,2A CALLE 3-02 ZONA 5 COLONIA MARIA TERESA,74578380,MIGUEL ANGEL ARMAS ROCHA,LUDIM CELESTINA MÉNDEZ PÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,COLEGIO PARTICULAR D ANTONI,COLEGIO,COLEGIO PARTICULAR D ANTONI_2A_CALLE_3-02_ZONA_5_COLONIA_MARIA_TERESA,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
11-01-0076-46,11-014,RETALHULEU,RETALHULEU,INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION,1A AVE. 4-08 ZONA 2,77126370,JULIO CÉSAR HERRERA ROLDÁN,CARLOS HUMBERTO SOLOGAISTOA MONTERROSO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION,INSTITUTO,INSTITUTO OFICIAL DIVERSIFICADO CON ORIENTACION EN COMPUTACION_1A_AVE._4-08_ZONA_2,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
11-01-0078-46,11-016,RETALHULEU,RETALHULEU,INSTITUTO PRIVADO MIXTO DE EDUCACIÓN DIVERSIFICADA LICEO RETALTECO,3A AVE. 6-49 ZONA 1,77166370,MARIO RENE RIVERA ARGUETA,SIN ASIGNAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU,INSTITUTO DIVERSIFICADA LICEO RETALTECO,INSTITUTO,INSTITUTO DIVERSIFICADA LICEO RETALTECO_3A_AVE._6-49_ZONA_1,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
11-01-0080-46,11-004,RETALHULEU,RETALHULEU,COLEGIO MIXTO RETALHULEU,6A AVE. 3-40 ZONA 1,77100860,MIGUEL ANGEL ARMAS ROCHA,JULIO CÉSAR HERRERA ROLDAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,COLEGIO RETALHULEU,COLEGIO,COLEGIO RETALHULEU_6A_AVE._3-40_ZONA_1,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
11-01-0081-46,11-014,RETALHULEU,RETALHULEU,INSTITUTO NORMAL MIXTO CARLOS DUBON,3A CALLE 6-49 ZONA 4,63345190,JULIO CÉSAR HERRERA ROLDÁN,SERGIO RAMÓN LÓPEZ SOLÍS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,INSTITUTO NORMAL CARLOS DUBON,INSTITUTO,INSTITUTO NORMAL CARLOS DUBON_3A_CALLE_6-49_ZONA_4,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
11-01-0082-46,11-014,RETALHULEU,RETALHULEU,INSTITUTO NACIONAL MIXTO NOCTURNO DE EDUCACIÓN MEDIA,3A CALLE 6-49 ZONA 4,34947880,JULIO CÉSAR HERRERA ROLDÁN,JUAN DE DIOS RODAS HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),RETALHULEU,INSTITUTO NACIONAL NOCTURNO MEDIA,INSTITUTO,INSTITUTO NACIONAL NOCTURNO MEDIA_3A_CALLE_6-49_ZONA_4,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
11-01-0084-46,11-004,RETALHULEU,RETALHULEU,CENTRO EDUCATIVO JUAN PABLO II,"7A. CALLE 4-47, ZONA 1",77104900,MIGUEL ANGEL ARMAS ROCHA,PEDRO EDUARDO CHAVEZ ESCOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,CENTRO EDUCATIVO JUAN PABLO II,CENTRO,"CENTRO EDUCATIVO JUAN PABLO II_7A._CALLE_4-47,_ZONA_1",SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
11-01-0101-46,11-014,RETALHULEU,RETALHULEU,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,CENTRO URBANO PARCELAMIENTO CABALLO BLANCO,62412790,JULIO CÉSAR HERRERA ROLDÁN,EMERSON IVAN GRIJALVA CORONADO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),RETALHULEU,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA_CENTRO_URBANO_PARCELAMIENTO_CABALLO_BLANCO,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
11-01-0110-46,11-019,RETALHULEU,RETALHULEU,INSTITUTO TÉCNICO DE CAPACITACION Y PRODUCTIVIDAD -INTECAP-,KILÓMETRO. 192 CARRETERA A CHAMPERICO,60086000,LISBETH SURAMA LOPEZ CALVILLO,ERNESTO JOAQUÍN LÓPEZ SARTI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),RETALHULEU,INSTITUTO TECNICO CAPACITACION PRODUCTIVIDAD -INTECAP-,INSTITUTO,INSTITUTO TECNICO CAPACITACION PRODUCTIVIDAD -INTECAP-_KILÓMETRO._192_CARRETERA_A_CHAMPERICO,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
11-01-0120-46,11-017,RETALHULEU,RETALHULEU,COLEGIO CENTRO EDUCATIVO RETALTECO DE FORMACION INTEGRAL,8A. AVENIDA. 8-01 ZONA 1,98423850,MIGUEL ANGEL ARMAS ROCHA,JORGE LUIS DÍAZ DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,RETALHULEU,COLEGIO EDUCATIVO RETALTECO FORMACION INTEGRAL,COLEGIO,COLEGIO EDUCATIVO RETALTECO FORMACION INTEGRAL_8A._AVENIDA._8-01_ZONA_1,SUR,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
11-01-0126-46,11-004,RETALHULEU,RETALHULEU,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU,5A. AVENIDA 6-49 ZONA 1,NO DISPONIBLE,MIGUEL ANGEL ARMAS ROCHA,MIGUEL ANGEL PISQUIY QUIXTAN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),RETALHULEU,INSTITUTO IBEROAMERICANO ESTUDIOS AVANZADOS RETALHULEU,INSTITUTO,INSTITUTO IBEROAMERICANO ESTUDIOS AVANZADOS RETALHULEU_5A._AVENIDA_6-49_ZONA_1,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
