CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
03-01-0052-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES SECCION NOCTURNA,5A. CALLE ORIENTE NO.17,78328708,JUAN DEMETRIO SICAJOL PEREZ,JULIO ABDIEL HERNÁNDEZ GARCÍA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SACATEPÉQUEZ,ESCUELA NACIONAL CIENCIAS COMERCIALES SECCION NOCTURNA,ESCUELA,ESCUELA NACIONAL CIENCIAS COMERCIALES SECCION NOCTURNA_5A._CALLE_ORIENTE_NO.17,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
03-01-0056-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,LICEO ANTIGUEÑO,3A. CALLE ORIENTE NO.11,78320670,ZOILA ESTHELA JONFE OROZCO,JOSUÉ NATHÁN SOLÓRZANO BERDÚO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,LICEO ANTIGUEÑO,LICEO,LICEO ANTIGUEÑO_3A._CALLE_ORIENTE_NO.11,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
03-01-0057-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO LA SALLE,4A. AVENIDA NORTE N-26,78320556,ZOILA ESTHELA JONFE OROZCO,MARCOS MANUEL HERNÁNDEZ PÉREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO LA SALLE,COLEGIO,COLEGIO LA SALLE_4A._AVENIDA_NORTE_N-26,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
03-01-0058-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL P/SEÑORITAS OLIMPIA LEAL,5A. CALLE ORIENTE N-15,78323391,JUAN DEMETRIO SICAJOL PEREZ,SONIA JUDITH GALVEZ GARCIA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,INSTITUTO NORMAL P/SEÑORITAS OLIMPIA LEAL,INSTITUTO,INSTITUTO NORMAL P/SEÑORITAS OLIMPIA LEAL_5A._CALLE_ORIENTE_N-15,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
03-01-0059-46,03-001,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL,FINCA LA PRIMAVERA SALIDA A SANTA MARIA DE JESUS KILÓMETRO.2,58437849,JUAN DEMETRIO SICAJOL PEREZ,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL,INSTITUTO,INSTITUTO NORMAL PARA VARONES ANTONIO LARRAZABAL_FINCA_LA_PRIMAVERA_SALIDA_A_SANTA_MARIA_DE_JESUS_KILÓMETRO.2,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
03-01-0075-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MUNDO VERDE,2A. AVENIDA SUR NO. 46,78320315,ZOILA ESTHELA JONFE OROZCO,MANUEL ANTONIO ESTRADA ORTIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO MUNDO VERDE,COLEGIO,COLEGIO MUNDO VERDE_2A._AVENIDA_SUR_NO._46,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
03-01-0090-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO MIXTO PRE-UNIVERSITARIO GALILEO GALILEI,CALLE ANCHA NO. 86,78320255,ZOILA ESTHELA JONFE OROZCO,MARÍA EUGENIA MORALES ZAMORA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO PRE-UNIVERSITARIO GALILEO GALILEI,COLEGIO,COLEGIO PRE-UNIVERSITARIO GALILEO GALILEI_CALLE_ANCHA_NO._86,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
03-01-0103-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO COLONIAL BILINGUE,"LOTE F-6, MANZANA G, SAN PEDRO EL PANORAMA",79346373,ZOILA ESTHELA JONFE OROZCO,MERCEDES DE LAS NIEVES BLANCO ROMEU,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO COLONIAL BILINGUE,COLEGIO,"COLEGIO COLONIAL BILINGUE_LOTE_F-6,_MANZANA_G,_SAN_PEDRO_EL_PANORAMA",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
03-01-0119-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,INSTITUTO MUNICIPAL DE EDUCACIÓN DIVERSIFICADA,2DA. CALLE ORIENTE NO. 1 ALDEA SAN JUAN DEL OBISPO,59721931,ZOILA ESTHELA JONFE OROZCO,VICTOR HUGO SIMÓN MARROQUÍN,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,INSTITUTO MUNICIPAL DIVERSIFICADA,INSTITUTO,INSTITUTO MUNICIPAL DIVERSIFICADA_2DA._CALLE_ORIENTE_NO._1_ALDEA_SAN_JUAN_DEL_OBISPO,CENTRAL,MUNICIPAL_MONOLINGUE_DIARIO(REGULAR)
03-01-0120-46,03-002,SACATEPEQUEZ,ANTIGUA GUATEMALA,COLEGIO BELEN,PLAZUELA BELEN,78320322,ZOILA ESTHELA JONFE OROZCO,MARÍA DEL CARMEN GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SACATEPÉQUEZ,COLEGIO BELEN,COLEGIO,COLEGIO BELEN_PLAZUELA_BELEN,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
