CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
12-01-0048-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO NORMAL MIXTO DE OCCIDENTE JUSTO RUFINO BARRIOS,10A. AVENIDA 8-27 ZONA 3,76013850,ENIO RELMAN MALDONADO SOLIS,NELSON DE JESÚS BAUTISTA LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS,INSTITUTO NORMAL OCCIDENTE JUSTO RUFINO BARRIOS,INSTITUTO,INSTITUTO NORMAL OCCIDENTE JUSTO RUFINO BARRIOS_10A._AVENIDA_8-27_ZONA_3,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
12-01-0049-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3A. AVENIDA 11-154 ZONA 1,49742850,ENIO RELMAN MALDONADO SOLIS,JOSÉ JONATÁN MÉNDEZ ACEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS,INSTITUTO ADOLFO V. HALL OCCIDENTE,INSTITUTO,INSTITUTO ADOLFO V. HALL OCCIDENTE_3A._AVENIDA_11-154_ZONA_1,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
12-01-0050-46,12-063,SAN MARCOS,SAN MARCOS,COLEGIO SAN MARCOS,6A. AVENIDA 4-92 ZONA 2,76041470,HELIUV EDILZAR VASQUEZ NAVARRO,SOR CAROLINA PATRICIA MARTÍNEZ TRUJILLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,COLEGIO SAN MARCOS,COLEGIO,COLEGIO SAN MARCOS_6A._AVENIDA_4-92_ZONA_2,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
12-01-0053-46,12-100,SAN MARCOS,SAN MARCOS,COLEGIO PARTICULAR MIXTO SAGRADO CORAZON,10A. AVENIDA 9-71 ZONA 3,76011640,JORGE EBERTO SOLORZANO SANCHEZ,MAGNOLIA ROSALETT CIFUENTES BARRIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,COLEGIO PARTICULAR SAGRADO CORAZON,COLEGIO,COLEGIO PARTICULAR SAGRADO CORAZON_10A._AVENIDA_9-71_ZONA_3,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
12-01-0078-46,12-063,SAN MARCOS,SAN MARCOS,COLEGIO PREUNIVERSITARIO GALILEO,"12 AVENIDA 3-33 ZONA 4, CANTON SANTO DOMINGO",76797430,HELIUV EDILZAR VASQUEZ NAVARRO,BRENDY LUCRECIA VÁSQUEZ VELÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,COLEGIO PREUNIVERSITARIO GALILEO,COLEGIO,"COLEGIO PREUNIVERSITARIO GALILEO_12_AVENIDA_3-33_ZONA_4,_CANTON_SANTO_DOMINGO",OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
12-01-0085-46,12-063,SAN MARCOS,SAN MARCOS,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA LAS LAGUNAS,11102260,HELIUV EDILZAR VASQUEZ NAVARRO,ACSA ABIGAIL ARGUETA VICENTE,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SAN MARCOS,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA_ALDEA_LAS_LAGUNAS,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
12-01-0096-46,12-100,SAN MARCOS,SAN MARCOS,INSTITUTO PRIVADO MIXTO SAN CARLOS,1A. CALLE CALLEJÓN LA ALBORADA 1-85 ZONA 4.,72497430,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SAN MARCOS,INSTITUTO SAN CARLOS,INSTITUTO,INSTITUTO SAN CARLOS_1A._CALLE_CALLEJÓN_LA_ALBORADA_1-85_ZONA_4.,OCCIDENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
12-01-0100-46,12-001,SAN MARCOS,SAN MARCOS,INSTITUTO ADOLFO V. HALL DE OCCIDENTE,3AV. 11-154 ZONA 1,49742850,ENIO RELMAN MALDONADO SOLIS,JOSÉ JONATÁN MÉNDEZ ACEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,INSTITUTO ADOLFO V. HALL OCCIDENTE,INSTITUTO,INSTITUTO ADOLFO V. HALL OCCIDENTE_3AV._11-154_ZONA_1,OCCIDENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
12-01-0105-46,12-100,SAN MARCOS,SAN MARCOS,INSTITUTO PRIVADO MIXTO SAN CARLOS,1A. CALLE CALLEJÓN LA ALBORADA1-85 ZONA 4.,72497430,JORGE EBERTO SOLORZANO SANCHEZ,LISETH MARICELA BARRIOS DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SAN MARCOS,INSTITUTO SAN CARLOS,INSTITUTO,INSTITUTO SAN CARLOS_1A._CALLE_CALLEJÓN_LA_ALBORADA1-85_ZONA_4.,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
12-01-0115-46,12-063,SAN MARCOS,SAN MARCOS,COLEGIO PRIVADO URBANO MIXTO AMIGOS,7A. CALLE 12-99 ZONA 4,15087270,HELIUV EDILZAR VASQUEZ NAVARRO,EDIT ORFA VÁSQUEZ OROZCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SAN MARCOS,COLEGIO URBANO AMIGOS,COLEGIO,COLEGIO URBANO AMIGOS_7A._CALLE_12-99_ZONA_4,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
