CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
20-01-0024-46,20-001,CHIQUIMULA,CHIQUIMULA,ESCUELA DE CIENCIAS COMERCIALES NOCTURNA,10A. AVENIDA 3-71 ZONA 1,94221500,CESAR ADALBERTO NOGUERA JACOME,HÉCTOR ALIDIO CERON BRENES,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA,ESCUELA CIENCIAS COMERCIALES NOCTURNA,ESCUELA,ESCUELA CIENCIAS COMERCIALES NOCTURNA_10A._AVENIDA_3-71_ZONA_1,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
20-01-0029-46,20-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO DIVERSIFICADO ADS. AL INEB DR. DAVID GUERRA GUZMAN,2A CALLE ENTRE 11 Y 12 AVENIDAS ZONA 1,94203950,CESAR ADALBERTO NOGUERA JACOME,ROMEO RIVERA CHACÓN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,INSTITUTO DIVERSIFICADO ADS. AL INEB 'DR. DAVID GUERRA GUZMAN',INSTITUTO,INSTITUTO DIVERSIFICADO ADS. AL INEB 'DR. DAVID GUERRA GUZMAN'_2A_CALLE_ENTRE_11_Y_12_AVENIDAS_ZONA_1,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
20-01-0030-46,20-001,CHIQUIMULA,CHIQUIMULA,ESCUELA NACIONAL DE MAESTROS DE EDUCACIÓN MUSICAL PEM OSCAR AUGUSTO MATEO MORALES,2A CALLE Y 12 AVENIDA ZONA 1,19429270,CESAR ADALBERTO NOGUERA JACOME,JOSÉ VICENTE REYES SOLÍS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIQUIMULA,ESCUELA NACIONAL MAESTROS MUSICAL PEM OSCAR AUGUSTO MATEO MORALES,ESCUELA,ESCUELA NACIONAL MAESTROS MUSICAL PEM OSCAR AUGUSTO MATEO MORALES_2A_CALLE_Y_12_AVENIDA_ZONA_1,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
20-01-0031-46,20-024,CHIQUIMULA,CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA DE ORIENTE -ESDEO-,2A CALLE 4-40 ZONA 1,94202900,SILVIA MARILENA BUEZO MARTINEZ,ERWIN LEONEL COLINDRES MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,ESCUELA SECUNDARIA PRIVADA MIXTA ORIENTE -ESDEO-,ESCUELA,ESCUELA SECUNDARIA PRIVADA MIXTA ORIENTE -ESDEO-_2A_CALLE_4-40_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
20-01-0032-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO EVANGÉLICO MIXTO AMIGOS,10MA AVENIDA 5-38 ZONA 1,94201160,SILVIA MARILENA BUEZO MARTINEZ,ROXANA LISBETH URRUTIA PINTO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIQUIMULA,COLEGIO EVANGÉLICO AMIGOS,COLEGIO,COLEGIO EVANGÉLICO AMIGOS_10MA_AVENIDA_5-38_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
20-01-0033-46,20-027,CHIQUIMULA,CHIQUIMULA,INSTITUTO TECNOLÓGICO PRIVADO DE ORIENTE,4TA. AVENIDA 4-20 ZONA 1,94259590,SILVIA MARILENA BUEZO MARTINEZ,SALOMON ELIASIB ALVAREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIQUIMULA,INSTITUTO TECNOLOGICO ORIENTE,INSTITUTO,INSTITUTO TECNOLOGICO ORIENTE_4TA._AVENIDA_4-20_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
20-01-0034-46,20-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO NORMAL PARA SEÑORITAS DE ORIENTE,4A. CALLE 6-00 ZONA 1,97992160,CESAR ADALBERTO NOGUERA JACOME,MIRNA ELIZABETH QUIROA LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,INSTITUTO NORMAL PARA SEÑORITAS ORIENTE,INSTITUTO,INSTITUTO NORMAL PARA SEÑORITAS ORIENTE_4A._CALLE_6-00_ZONA_1,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
20-01-0036-46,20-001,CHIQUIMULA,CHIQUIMULA,INSTITUTO NORMAL PARA VARONES DE ORIENTE,6A AVE. 4-10 ZONA 1,94204250,CESAR ADALBERTO NOGUERA JACOME,BALVINO CHACÓN PÉREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,INSTITUTO NORMAL PARA VARONES ORIENTE,INSTITUTO,INSTITUTO NORMAL PARA VARONES ORIENTE_6A_AVE._4-10_ZONA_1,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
20-01-0038-46,20-027,CHIQUIMULA,CHIQUIMULA,LICEO LA SALLE,6A CALLE 3-61 ZONA 1,94203280,SILVIA MARILENA BUEZO MARTINEZ,JUAN MODESTO SICAY TÓC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,LICEO LA SALLE,LICEO,LICEO LA SALLE_6A_CALLE_3-61_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
20-01-0040-46,20-024,CHIQUIMULA,CHIQUIMULA,COLEGIO PRIVADO MIXTO SAGRADA FAMILIA,6A AVE. 5-68 ZONA 1,94202320,SILVIA MARILENA BUEZO MARTINEZ,DÁMARYS JUDITH DÍAZ TEJADA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA,COLEGIO 'SAGRADA FAMILIA',COLEGIO,COLEGIO 'SAGRADA FAMILIA'_6A_AVE._5-68_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
