CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
02-01-0027-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO TÉCNICO INDUSTRIAL MIXTO GUASTATOYA,BARRIO EL CALVARIO,94508810,CARLA MARLENY ALDANA RODAS,JOSÉ ARTURO LÓPEZ ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO,INSTITUTO TECNICO INDUSTRIAL GUASTATOYA,INSTITUTO,INSTITUTO TECNICO INDUSTRIAL GUASTATOYA_BARRIO_EL_CALVARIO,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
02-01-0028-46,02-014,EL PROGRESO,GUASTATOYA,COLEGIO DE CIENCIAS COMERCIALES EL PROGRESO,BARRIO EL PORVENIR,94512650,CARLA MARLENY ALDANA RODAS,DANIEL LÓPEZ SOLÍS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,COLEGIO CIENCIAS COMERCIALES EL PROGRESO,COLEGIO,COLEGIO CIENCIAS COMERCIALES EL PROGRESO_BARRIO_EL_PORVENIR,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
02-01-0031-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,BARRIO EL PORVENIR,44227530,CARLA MARLENY ALDANA RODAS,ILIANA ARACELY LÁZARO HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA_BARRIO_EL_PORVENIR,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
02-01-0045-46,02-014,EL PROGRESO,GUASTATOYA,INSTITUTO DE EDUCACIÓN MEDIA POR MADUREZ,BARRIO EL PORVENIR,67199550,CARLA MARLENY ALDANA RODAS,NORA REBECA IBAÑEZ MORÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,INSTITUTO EDUCACIÓN MEDIA POR MADUREZ,INSTITUTO,INSTITUTO EDUCACIÓN MEDIA POR MADUREZ_BARRIO_EL_PORVENIR,ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
02-01-0049-46,02-021,EL PROGRESO,GUASTATOYA,CENTRO MUNICIPAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-,COLONIA LINDA VISTA,82508270,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,SANDRA PAOLA MORALES GARCÍA,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,CENTRO MUNICIPAL EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO,CENTRO MUNICIPAL EDUCACIÓN EXTRAESCOLAR -CEEX-_COLONIA_LINDA_VISTA,ORIENTE,MUNICIPAL_MONOLINGUE_FIN_DE_SEMANA
02-01-0054-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO EVANGELICO TORRE FUERTE,"COLONIA HICHOS, BARRIO EL PORVENIR",94519930,CARLOTA EUGENIA ALBUREZ AGUILAR,IRIS ORFELÍ LOAIZA MOSCOSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),EL PROGRESO,COLEGIO EVANGELICO TORRE FUERTE,COLEGIO,"COLEGIO EVANGELICO TORRE FUERTE_COLONIA_HICHOS,_BARRIO_EL_PORVENIR",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
02-01-0061-46,02-021,EL PROGRESO,GUASTATOYA,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,BARRIO LAS JOYAS CEMENTERIO VIEJO,96375750,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,MARTA ELIDA CARIAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,EL PROGRESO,PROGRAMA NACIONAL EDUCACIÓN ALTERNATIVA -PRONEA-,OTRO,PROGRAMA NACIONAL EDUCACIÓN ALTERNATIVA -PRONEA-_BARRIO_LAS_JOYAS_CEMENTERIO_VIEJO,ORIENTE,OFICIAL_MONOLINGUE_A_DISTANCIA
02-01-0062-46,02-021,EL PROGRESO,GUASTATOYA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"BARRIO LAS JOYAS, CEMENTERIO VIEJO",79622360,MARTA ELIDA CARIAS HERNANDEZ DE GARCIA,HELLEN CELESTE MARROQUIN CORADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),EL PROGRESO,CENTRO EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,CENTRO,"CENTRO EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL_BARRIO_LAS_JOYAS,_CEMENTERIO_VIEJO",ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
02-01-0066-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,"COLONIA HICHOS, BARRIO EL PORVENIR",74067580,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO,COLEGIO INTEGRAL EL PROGRESO,COLEGIO,"COLEGIO INTEGRAL EL PROGRESO_COLONIA_HICHOS,_BARRIO_EL_PORVENIR",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
02-01-0068-46,02-012,EL PROGRESO,GUASTATOYA,COLEGIO MIXTO INTEGRAL EL PROGRESO,COLONIA HICHOS BARRIO EL PORVENIR GUASTATOYA,74067580,CARLOTA EUGENIA ALBUREZ AGUILAR,DELFINA MARISOL PAZOS RAMOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,EL PROGRESO,COLEGIO INTEGRAL EL PROGRESO,COLEGIO,COLEGIO INTEGRAL EL PROGRESO_COLONIA_HICHOS_BARRIO_EL_PORVENIR_GUASTATOYA,ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
