CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
05-01-0110-46,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAÑO Y VILLEGAS,1A AVE. SUR 10-30 ZONA 1,78880048,REMY ARTURO SINAY GUDIEL,CARLOS JOSE RODRIGO RODRIGUEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,ESCUELA NACIONAL CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAÑO VILLEGAS,ESCUELA,ESCUELA NACIONAL CIENCIAS COMERCIALES ADS. AL INEB SIMON BERGAÑO VILLEGAS_1A_AVE._SUR_10-30_ZONA_1,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
05-01-0119-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO ESCOLAR NUESTRA SEÑORA DE CONCEPCION,KILÓMETRO. 59 CARRETERA A SANTA LUCIA COTZUMALGUAPA,78881194,REMY ARTURO SINAY GUDIEL,MILTON LAUREANO GONZÁLEZ LARIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,CENTRO ESCOLAR NUESTRA SEÑORA CONCEPCION,CENTRO,CENTRO ESCOLAR NUESTRA SEÑORA CONCEPCION_KILÓMETRO._59_CARRETERA_A_SANTA_LUCIA_COTZUMALGUAPA,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
05-01-0121-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO TÉCNICO EXPERIMENTAL DEL SUR,1A. CALLE 2-38 ZONA 3,31651314,REMY ARTURO SINAY GUDIEL,JUAN ROMEO SUÁREZ CHACÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,INSTITUTO TECNICO EXPERIMENTAL DEL SUR,INSTITUTO,INSTITUTO TECNICO EXPERIMENTAL DEL SUR_1A._CALLE_2-38_ZONA_3,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
05-01-0126-46,05-033,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGÜE,1A AVENIDA 6-60 ZONA 4,78890988,REMY ARTURO SINAY GUDIEL,GIEZI HAZAEL LÓPEZ BLANCO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,COLEGIO PARTICULAR ESCUINTLECO BILINGÜE,COLEGIO,COLEGIO PARTICULAR ESCUINTLECO BILINGÜE_1A_AVENIDA_6-60_ZONA_4,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
05-01-0131-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO MIGUEL ANGEL ASTURIAS,5A AVE 6-61 ZONA 1,NO DISPONIBLE,REMY ARTURO SINAY GUDIEL,SIN ASIGNAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA,CENTRO EDUCATIVO 'MIGUEL ANGEL ASTURIAS',CENTRO,CENTRO EDUCATIVO 'MIGUEL ANGEL ASTURIAS'_5A_AVE_6-61_ZONA_1,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
05-01-0144-46,05-033,ESCUINTLA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,"3A. AVENIDA. 5-52 ZONA 1 ESCUINTLA,",78894544,REMY ARTURO SINAY GUDIEL,NIDIA AMARILIS GALVEZ CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA,CENTRO EDUCACIONAL GUATEMALTECO DEL SUR,CENTRO,"CENTRO EDUCACIONAL GUATEMALTECO DEL SUR_3A._AVENIDA._5-52_ZONA_1_ESCUINTLA,",SUR,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
05-01-0145-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO NACIONAL DE PERITO EN MERCADOTECNIA Y PUBLICIDAD,4A. AVE. SUR 15-20 ZONA 4,78893272,REMY ARTURO SINAY GUDIEL,MARIELA FLORIBÉL MÉNDEZ MALDONADO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,INSTITUTO NACIONAL PERITO EN MERCADOTECNIA PUBLICIDAD,INSTITUTO,INSTITUTO NACIONAL PERITO EN MERCADOTECNIA PUBLICIDAD_4A._AVE._SUR_15-20_ZONA_4,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
05-01-0146-46,05-033,ESCUINTLA,ESCUINTLA,ESCUELA NACIONAL MIXTA NOCTURNA DE CIENCIAS COMERCIALES,1A AVE. 10-30 ZONA 1,57171570,REMY ARTURO SINAY GUDIEL,LEONEL ARNULFO ORTEGA MORATAYA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ESCUINTLA,ESCUELA NACIONAL MIXTA NOCTURNA CIENCIAS COMERCIALES,ESCUELA,ESCUELA NACIONAL MIXTA NOCTURNA CIENCIAS COMERCIALES_1A_AVE._10-30_ZONA_1,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
05-01-0184-46,05-033,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,1ERA. AVENIDA 10-30 ZONA 1 COLONIA EL PROGRESO,78895918,REMY ARTURO SINAY GUDIEL,MARÍA EUGENIA BARRERA BARREDA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA,INSTITUTO DIVERSIFICADA POR COOPERATIVA ENSEÑANZA,INSTITUTO,INSTITUTO DIVERSIFICADA POR COOPERATIVA ENSEÑANZA_1ERA._AVENIDA_10-30_ZONA_1_COLONIA_EL_PROGRESO,SUR,COOPERATIVA_MONOLINGUE_DIARIO(REGULAR)
05-01-0187-46,05-033,ESCUINTLA,ESCUINTLA,LICEO INTEGRAL DEL SUR,"7A. CALLE 2-64, ZONA 3, BARRIO SAN MIGUEL",78268277,REMY ARTURO SINAY GUDIEL,KIMBERLY KARINA GUZMÁN MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA,LICEO INTEGRAL DEL SUR,LICEO,"LICEO INTEGRAL DEL SUR_7A._CALLE_2-64,_ZONA_3,_BARRIO_SAN_MIGUEL",SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
