CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
00-07-0007-46,01-623,CIUDAD CAPITAL,ZONA 7,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,38 CALLE 33-20 ZONA 7 COLONIA EL AMPARO,50189731,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,ALBERTO FELIPE YAX,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA_38_CALLE_33-20_ZONA_7_COLONIA_EL_AMPARO,CENTRAL,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
00-07-0026-46,01-603,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO LOS SAUCES,"31 AVENIDA 14-26, COLONIA CIUDAD DE PLATA II",24738983,ROSA ALBELIA ARDON DE MOTTA,AGUSTÍN SENCIÓN ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,CENTRO EDUCATIVO LOS SAUCES,CENTRO,"CENTRO EDUCATIVO LOS SAUCES_31_AVENIDA_14-26,_COLONIA_CIUDAD_DE_PLATA_II",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-07-0029-46,01-603,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO LOS SAUCES,"31 AVENIDA 14-26, COLONIA CIUDAD DE PLATA II",24738983,ROSA ALBELIA ARDON DE MOTTA,AGUSTÍN SENCIÓN ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE,CENTRO EDUCATIVO LOS SAUCES,CENTRO,"CENTRO EDUCATIVO LOS SAUCES_31_AVENIDA_14-26,_COLONIA_CIUDAD_DE_PLATA_II",CENTRAL,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
00-07-0036-46,01-619,CIUDAD CAPITAL,ZONA 7,CENTRO EDUCATIVO TÉCNICO LABORAL KINAL,"6A. AVENIDA 13-54, COLONIA LANDIVAR",23877600,JUAN WALDEMAR CABRERA MENDEZ,JOSÉ MARIANO ESCALANTE ALEGRÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),GUATEMALA OCCIDENTE,CENTRO EDUCATIVO TECNICO LABORAL KINAL,CENTRO,"CENTRO EDUCATIVO TECNICO LABORAL KINAL_6A._AVENIDA_13-54,_COLONIA_LANDIVAR",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-07-0039-46,01-623,CIUDAD CAPITAL,ZONA 7,ESCUELA EXPERIMENTAL DE APLICACIÓN MIRÓN MUÑOZ FE Y ALEGRIA NO. 40,"32 AVENIDA ""B"" 38-01 COLONIA EL AMPARO II",24319988,FEDERICO ESTUARDO IRUNGARAY SAMAYOA,CANDICE MARÍA HERNÁNDEZ LUNA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,ESCUELA EXPERIMENTAL APLICACIÓN MIRÓN MUÑOZ FE ALEGRIA NO. 40,ESCUELA,"ESCUELA EXPERIMENTAL APLICACIÓN MIRÓN MUÑOZ FE ALEGRIA NO. 40_32_AVENIDA_""B""_38-01_COLONIA_EL_AMPARO_II",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-07-0040-46,01-619,CIUDAD CAPITAL,ZONA 7,COLEGIO MIXTO DURUELO,"38 CALLE ""CALLE"" FINAL 34-31 COLONIA EL AMPARO I",24362913,JUAN WALDEMAR CABRERA MENDEZ,MARIA DEL CARMEN GONZÁLEZ GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO DURUELO,COLEGIO,"COLEGIO DURUELO_38_CALLE_""CALLE""_FINAL_34-31_COLONIA_EL_AMPARO_I",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-07-0042-46,01-639,CIUDAD CAPITAL,ZONA 7,LICEO MIXTO EN COMPUTACION ROTTERDAM,31 AVENIDA 14-12 CIUDAD PLATA II,24738493,LUDVIN RICARDO URRUTIA LORENTI,MARÍA DEL CARMEN LÓPEZ BENAVENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE,LICEO EN COMPUTACION ROTTERDAM,LICEO,LICEO EN COMPUTACION ROTTERDAM_31_AVENIDA_14-12_CIUDAD_PLATA_II,CENTRAL,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
00-07-0054-46,01-619,CIUDAD CAPITAL,ZONA 7,COLEGIO TÉCNICO EN COMPUTACIÓN SAN JUAN,9A CALLE 8-63 Y 8-67 COLONIA QUINTA SAMAYOA,24754329,JUAN WALDEMAR CABRERA MENDEZ,AURA MARINA MEJIA FUENTES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,COLEGIO TÉCNICO EN COMPUTACIÓN SAN JUAN,COLEGIO,COLEGIO TÉCNICO EN COMPUTACIÓN SAN JUAN_9A_CALLE_8-63_Y_8-67_COLONIA_QUINTA_SAMAYOA,CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-07-0072-46,01-619,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN,"31 AVENIDA 5-30 ZONA 7 JARDINES DE TIKAL 1 GUATEMALA, GUATEMALA",24740582,JUAN WALDEMAR CABRERA MENDEZ,ORFANIA ALVAREZ PERDOMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE,INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN,INSTITUTO,"INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN_31_AVENIDA_5-30_ZONA_7_JARDINES_DE_TIKAL_1_GUATEMALA,_GUATEMALA",CENTRAL,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
00-07-0076-46,01-409,CIUDAD CAPITAL,ZONA 7,INSTITUTO TECNOLÓGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN,31 AVENIDA. 35-30 COLONIA TIKAL 1,24740582,IDALIA DEL ROSARIO LOPEZ SANDOVAL DE PAIZ,ORFANIA ALVAREZ PERDOMO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA OCCIDENTE,INSTITUTO TECNOLOGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN,INSTITUTO,INSTITUTO TECNOLOGICO EN ESTUDIOS DIVERSIFICADOS SAN JUAN_31_AVENIDA._35-30_COLONIA_TIKAL_1,CENTRAL,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
