CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
21-01-0101-46,21-002,JALAPA,JALAPA,INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS -INCAS-,"AVENIDA CHIPILAPA 1-65, ZONA 2",79224268,JORGE ADELINO PEREZ UCELO,IRIS JANNETTE AGUIRRE CONTRERAS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS -INCAS-,INSTITUTO,"INSTITUTO NORMAL CENTROAMERICANO PARA SEÑORITAS -INCAS-_AVENIDA_CHIPILAPA_1-65,_ZONA_2",ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
21-01-0104-46,21-002,JALAPA,JALAPA,INSTITUTO NORMAL CENTROAMERICANO PARA VARONES,"CALLE TRANSITO ROJAS, 4-82, ZONA 2, BARRIO SAN FRANCISCO",40645842,JORGE ADELINO PEREZ UCELO,LISI KARINA ESCOBAR ESPINOZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA,INSTITUTO NORMAL CENTROAMERICANO PARA VARONES,INSTITUTO,"INSTITUTO NORMAL CENTROAMERICANO PARA VARONES_CALLE_TRANSITO_ROJAS,_4-82,_ZONA_2,_BARRIO_SAN_FRANCISCO",ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
21-01-0106-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO JALAPA,CALLE TRANSITO ROJAS 7-60 ZONA 1,79220013,VICTOR MANUEL PORTILLO RECINOS,EFRAÍN DE JESÚS SALAZAR PERALTA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),JALAPA,COLEGIO PARTICULAR LICEO JALAPA,COLEGIO,COLEGIO PARTICULAR LICEO JALAPA_CALLE_TRANSITO_ROJAS_7-60_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0108-46,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO DE EDUCACIÓN DIVERSIFICADA EL PORVENIR,"4A. AVENIDA 2-66, ZONA 2 BARRIO SAN FRANCISCO",79223033,VICTOR MANUEL PORTILLO RECINOS,ROSA CORALIA PINEDA GALLARDO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,INSTITUTO DIVERSIFICADA EL PORVENIR,INSTITUTO,"INSTITUTO DIVERSIFICADA EL PORVENIR_4A._AVENIDA_2-66,_ZONA_2_BARRIO_SAN_FRANCISCO",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0111-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO NUEVO MILENIO,"1RA. CALLE A ZONA 3, RESIDENCIALES NUEVA JERUSALEN",79222186,VICTOR MANUEL PORTILLO RECINOS,NILSA MAGALY CORDERO GUDIEL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,COLEGIO PARTICULAR LICEO NUEVO MILENIO,COLEGIO,"COLEGIO PARTICULAR LICEO NUEVO MILENIO_1RA._CALLE_A_ZONA_3,_RESIDENCIALES_NUEVA_JERUSALEN",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0206-46,21-005,JALAPA,JALAPA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"CASERÍO LA LAGUNETA, ALDEA EL DURAZNO",31233496,THELMA YANETH POLANCO PEREZ DE CAMEY,MIGDALIA IRENE SANTILLANA FUENTES,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,"INSTITUTO NACIONAL DIVERSIFICADA_CASERÍO_LA_LAGUNETA,_ALDEA_EL_DURAZNO",ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
21-01-0233-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO POR MADUREZ OSCAR DE LEON PALACIOS,CALLE TRANSITO ROJAS 8-54 ZONA 2,56963730,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA MARINELLI MARTÍNEZ HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,COLEGIO PARTICULAR POR MADUREZ OSCAR LEON PALACIOS,COLEGIO,COLEGIO PARTICULAR POR MADUREZ OSCAR LEON PALACIOS_CALLE_TRANSITO_ROJAS_8-54_ZONA_2,ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
21-01-0256-46,21-004,JALAPA,JALAPA,COLEGIO SAGRADO CORAZON,3RA. CALLE 2-47 ZONA 2 BARRIO SAN FRANCISCO,79227638,VICTOR MANUEL PORTILLO RECINOS,FRANCISCO AUGUSTO CARRILLO HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,COLEGIO SAGRADO CORAZON,COLEGIO,COLEGIO SAGRADO CORAZON_3RA._CALLE_2-47_ZONA_2_BARRIO_SAN_FRANCISCO,ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
21-01-0269-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MIXTO DE EDUCACIÓN BASICA EDUCARE,"6A. AVENIDA. 0-67 ZONA 5, BARRIO SAN FRANCISCO",51948259,VICTOR MANUEL PORTILLO RECINOS,DORA ISABEL ELÍAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,COLEGIO BASICA EDUCARE,COLEGIO,"COLEGIO BASICA EDUCARE_6A._AVENIDA._0-67_ZONA_5,_BARRIO_SAN_FRANCISCO",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0274-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO JALAPA,"CALLE TRÁNSITO ROJAS 7-79, ZONA 1 BARRIO LA DEMOCRACIA",79220013,VICTOR MANUEL PORTILLO RECINOS,LESLY PRISCILA CARRERA RUÍZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,COLEGIO PARTICULAR LICEO JALAPA,COLEGIO,"COLEGIO PARTICULAR LICEO JALAPA_CALLE_TRÁNSITO_ROJAS_7-79,_ZONA_1_BARRIO_LA_DEMOCRACIA",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0299-46,21-004,JALAPA,JALAPA,CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA REMBRANDT,"6TA. CALLE ""E"" 0-49 COLONIA BONILLA ZONA 1, BARRIO LA ESPERANZA",79228008,VICTOR MANUEL PORTILLO RECINOS,JEIMY AZUCENA ARRIAZA ORTÍZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,CENTRO ESTUDIOS INGENIERIA ARQUITECTURA REMBRANDT,CENTRO,"CENTRO ESTUDIOS INGENIERIA ARQUITECTURA REMBRANDT_6TA._CALLE_""E""_0-49_COLONIA_BONILLA_ZONA_1,_BARRIO_LA_ESPERANZA",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0302-46,21-004,JALAPA,JALAPA,INSTITUTO PARTICULAR MIXTO LICEO GENESIS,"CALLE TRANSITO ROJAS 0-36 ZONA 6, BARRIO CHIPILAPA",42084457,VICTOR MANUEL PORTILLO RECINOS,NESTOR EFRAÍN SANDOVAL CAMPOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,INSTITUTO PARTICULAR LICEO GENESIS,INSTITUTO,"INSTITUTO PARTICULAR LICEO GENESIS_CALLE_TRANSITO_ROJAS_0-36_ZONA_6,_BARRIO_CHIPILAPA",ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
21-01-0306-46,21-004,JALAPA,JALAPA,CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA REMBRANDT,"6TA. CALLE ""E"" 0-49 COLONIA BONILLA ZON 1, BARRIO LA ESPERANZA",79228008,VICTOR MANUEL PORTILLO RECINOS,BERTA ELIZABETH NÁJERA JIMÉNEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,CENTRO ESTUDIOS INGENIERIA ARQUITECTURA REMBRANDT,CENTRO,"CENTRO ESTUDIOS INGENIERIA ARQUITECTURA REMBRANDT_6TA._CALLE_""E""_0-49_COLONIA_BONILLA_ZON_1,_BARRIO_LA_ESPERANZA",ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
21-01-0315-46,21-004,JALAPA,JALAPA,CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA REMBRANDT,"6TA. CALLE ""E"" 0-49 COLONIA BONILLA ZONA 1, BARRIO LA ESPERANZA",79228008,VICTOR MANUEL PORTILLO RECINOS,JEIMY AZUCENA ARRIAZA ORTÍZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA,CENTRO ESTUDIOS INGENIERIA ARQUITECTURA REMBRANDT,CENTRO,"CENTRO ESTUDIOS INGENIERIA ARQUITECTURA REMBRANDT_6TA._CALLE_""E""_0-49_COLONIA_BONILLA_ZONA_1,_BARRIO_LA_ESPERANZA",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0325-46,21-004,JALAPA,JALAPA,INSTITUTO PRIVADO LICEO INTERAMERICANO,"1RA. AVENIDA 0-45 ZONA 6, BARRIO CHIPILAPA",41963272,VICTOR MANUEL PORTILLO RECINOS,JOSÉ BAUDILIO CASTAÑEDA TÉLLES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,INSTITUTO LICEO INTERAMERICANO,INSTITUTO,"INSTITUTO LICEO INTERAMERICANO_1RA._AVENIDA_0-45_ZONA_6,_BARRIO_CHIPILAPA",ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
21-01-0329-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO JALAPA,CALLE TRÁNSITO ROJAS 7-79 ZONA 1 BARRIO LA DEMOCRACIA,79220013,VICTOR MANUEL PORTILLO RECINOS,LESLY PRISCILA CARRERA RUÍZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA,COLEGIO PARTICULAR LICEO JALAPA,COLEGIO,COLEGIO PARTICULAR LICEO JALAPA_CALLE_TRÁNSITO_ROJAS_7-79_ZONA_1_BARRIO_LA_DEMOCRACIA,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0336-46,21-004,JALAPA,JALAPA,COLEGIO PARTICULAR MIXTO LICEO NUEVO MILENIO,"1A. CALLE ""A"" ZONA 3 RESIDENCIALES NUEVA JERUSALEN",50000098,VICTOR MANUEL PORTILLO RECINOS,JORGE MARIO AQUINO MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,COLEGIO PARTICULAR LICEO NUEVO MILENIO,COLEGIO,"COLEGIO PARTICULAR LICEO NUEVO MILENIO_1A._CALLE_""A""_ZONA_3_RESIDENCIALES_NUEVA_JERUSALEN",ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
21-01-0344-46,21-004,JALAPA,JALAPA,INSTITUTO TÉCNICO INDUSTRIAL ALBERT EINSTEIN,"7A. AVENIDA 2-46 ZONA 1, BARRIO LA DEMOCRACIA",79225240,VICTOR MANUEL PORTILLO RECINOS,CLAUDIA SUCELY JIMENEZ JACOBO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA,INSTITUTO TÉCNICO INDUSTRIAL ALBERT EINSTEIN,INSTITUTO,"INSTITUTO TÉCNICO INDUSTRIAL ALBERT EINSTEIN_7A._AVENIDA_2-46_ZONA_1,_BARRIO_LA_DEMOCRACIA",ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
21-01-0349-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MONTE ALTO,"2A. CALLE ""CALLE"" 8-61 ZONA 1, BARRIO LA DEMOCRACIA",55630606,VICTOR MANUEL PORTILLO RECINOS,KENNETH JULIO CASTILLO SANTIAGO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA,COLEGIO MONTE ALTO,COLEGIO,"COLEGIO MONTE ALTO_2A._CALLE_""CALLE""_8-61_ZONA_1,_BARRIO_LA_DEMOCRACIA",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
21-01-0350-46,21-004,JALAPA,JALAPA,COLEGIO PRIVADO MONTE ALTO,"2A. CALLE ""CALLE"" 8-61 ZONA 1, BARRIO LA DEMOCRACIA",55630606,VICTOR MANUEL PORTILLO RECINOS,EDNA ADELINA SANTIAGO ORDOÑEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA,COLEGIO MONTE ALTO,COLEGIO,"COLEGIO MONTE ALTO_2A._CALLE_""CALLE""_8-61_ZONA_1,_BARRIO_LA_DEMOCRACIA",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
