CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
06-01-0039-46,06-001,SANTA ROSA,CUILAPA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES PROFESOR JORGE HUGO BARILLAS MÉNDEZ,LOTIFICACION BELLA VISTA EL CALVARIO,29975680,IRMA YOLANDA CHACON ARROYO,CARLA SELENE FORTUNY HERNÁNDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,ESCUELA NACIONAL CIENCIAS COMERCIALES PROFESOR JORGE HUGO BARILLAS MÉNDEZ,ESCUELA,ESCUELA NACIONAL CIENCIAS COMERCIALES PROFESOR JORGE HUGO BARILLAS MÉNDEZ_LOTIFICACION_BELLA_VISTA_EL_CALVARIO,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
06-01-0069-46,06-001,SANTA ROSA,CUILAPA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"LOTIFICACION BELLA VISTA, BARRIO EL CALVARIO",85605170,IRMA YOLANDA CHACON ARROYO,NERY FRANCISCO MAURICIO LÓPEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA,INSTITUTO NACIONAL DIVERSIFICADA,INSTITUTO,"INSTITUTO NACIONAL DIVERSIFICADA_LOTIFICACION_BELLA_VISTA,_BARRIO_EL_CALVARIO",SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
06-01-0091-46,06-001,SANTA ROSA,CUILAPA,COLEGIO TECNOLÓGICO MODERNO NUESTRA SEÑORA DE LA ASUNCION,"ALDEA GUACAMAYAS, VILLA LAURA",10647950,IRMA YOLANDA CHACON ARROYO,JULIO HILARIO SÁNCHEZ CARRILLO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SANTA ROSA,COLEGIO TECNOLOGICO MODERNO NUESTRA SEÑORA LA ASUNCION,COLEGIO,"COLEGIO TECNOLOGICO MODERNO NUESTRA SEÑORA LA ASUNCION_ALDEA_GUACAMAYAS,_VILLA_LAURA",SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
06-01-0099-46,06-001,SANTA ROSA,CUILAPA,ESCUELA NORMAL INTERCULTURAL,"LOTIFICACIÓN BELLA VISTA, BARRIO EL CALVARIO",88654800,IRMA YOLANDA CHACON ARROYO,ANGELA RAQUEL DIVAS QUEVEDO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,ESCUELA NORMAL INTERCULTURAL,ESCUELA,"ESCUELA NORMAL INTERCULTURAL_LOTIFICACIÓN_BELLA_VISTA,_BARRIO_EL_CALVARIO",SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
06-01-0105-46,06-039,SANTA ROSA,CUILAPA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- COOPERATIVA EL RECUERDO,CENTRO CULTURAL DE LAS AMERICAS 5 CALLE 1-09 ZONA 1,88660630,JORGE BALDOMERO GONZALEZ BARRERA,ALEYDA MARGARITA MONTENEGRO HERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA,CENTRO EDUCACIÓN EXTRAESCOLAR -CEEX- COOPERATIVA EL RECUERDO,CENTRO,CENTRO EDUCACIÓN EXTRAESCOLAR -CEEX- COOPERATIVA EL RECUERDO_CENTRO_CULTURAL_DE_LAS_AMERICAS_5_CALLE_1-09_ZONA_1,SUR,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
06-01-0107-46,06-001,SANTA ROSA,CUILAPA,COLEGIO PARTICULAR MIXTO DIVINO NIÑO,COLONIA LAS VICTORIAS,94955250,IRMA YOLANDA CHACON ARROYO,LISBETH CAROLINA SEN CASÚN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SANTA ROSA,COLEGIO PARTICULAR DIVINO NIÑO,COLEGIO,COLEGIO PARTICULAR DIVINO NIÑO_COLONIA_LAS_VICTORIAS,SUR,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
06-01-0110-46,06-039,SANTA ROSA,CUILAPA,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA","4A. CALLE 2-55 ZONA 4, BARRIO EL LLANITO, CUILAPA, SANTA ROSA",00602010,JORGE BALDOMERO GONZALEZ BARRERA,JORGE BALDOMERO GONZÁLEZ BARRERA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,SANTA ROSA,"PROGRAMA NACIONAL EDUCACIÓN ALTERNATIVA, PRONEA",OTRO,"PROGRAMA NACIONAL EDUCACIÓN ALTERNATIVA, PRONEA_4A._CALLE_2-55_ZONA_4,_BARRIO_EL_LLANITO,_CUILAPA,_SANTA_ROSA",SUR,OFICIAL_MONOLINGUE_A_DISTANCIA
06-01-0116-46,06-039,SANTA ROSA,CUILAPA,CENTRO DE EDUCACIÓN EXTRAESCOLAR SANTA ROSITA,"KILOMETRO 65.5 CARRETERA A EL SALVADOR ALDEA LOS ESCLAVOS CENTRO DE DETENCION PREVENTIVA ""EL BOQUERON""",01576950,JORGE BALDOMERO GONZALEZ BARRERA,GRICELDA ESCOBAR LEMUS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,CENTRO EDUCACIÓN EXTRAESCOLAR SANTA ROSITA,CENTRO,"CENTRO EDUCACIÓN EXTRAESCOLAR SANTA ROSITA_KILOMETRO_65.5_CARRETERA_A_EL_SALVADOR_ALDEA_LOS_ESCLAVOS_CENTRO_DE_DETENCION_PREVENTIVA_""EL_BOQUERON""",SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
06-01-0118-46,06-039,SANTA ROSA,CUILAPA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,"4A. CALLE 2-55, ZONA 4 BARRIO EL LLANITO, CUILAPA, SANTA ROSA",88655850,JORGE BALDOMERO GONZALEZ BARRERA,MARTA JULIA BARRERA BARRERA DE ALVAREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,SANTA ROSA,CENTRO EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL,CENTRO,"CENTRO EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL_4A._CALLE_2-55,_ZONA_4_BARRIO_EL_LLANITO,_CUILAPA,_SANTA_ROSA",SUR,OFICIAL_MONOLINGUE_SEMIPRESENCIAL
06-01-0119-46,06-001,SANTA ROSA,CUILAPA,COLEGIO CATÓLICO ECO-TECNOLÓGICO SAGRADO CORAZON DE JESÚS,"EL BOQUERÓN, KILÓMETRO 66",57028880,IRMA YOLANDA CHACON ARROYO,JUANA MARÍA TELLO GARCÍA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SANTA ROSA,COLEGIO CATÓLICO ECO-TECNOLÓGICO SAGRADO CORAZON JESÚS,COLEGIO,"COLEGIO CATÓLICO ECO-TECNOLÓGICO SAGRADO CORAZON JESÚS_EL_BOQUERÓN,_KILÓMETRO_66",SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
