CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
10-01-0078-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,71549330,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,ALBA PATRICIA CIFUENTES DIAZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,COLEGIO LICEO MAZATECO,COLEGIO,COLEGIO LICEO MAZATECO_6A._AVENIDA_2-21_ZONA_1,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
10-01-0083-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO PRIVADO MIXTO TECNOLÓGICO DEL SUROCCIDENTE,FINCA CHOJOJA,87183690,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,LIDIA ELIZABETH JEREZ DE LEÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,INSTITUTO TECNOLOGICO DEL SUROCCIDENTE,INSTITUTO,INSTITUTO TECNOLOGICO DEL SUROCCIDENTE_FINCA_CHOJOJA,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
10-01-0088-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,CANTON SANTA CRISTINA ZONA 2,50230860,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,CARLOS GUSTAVO FLORES CALDERÓN,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),SUCHITEPÉQUEZ,ESCUELA NACIONAL CIENCIAS COMERCIALES,ESCUELA,ESCUELA NACIONAL CIENCIAS COMERCIALES_CANTON_SANTA_CRISTINA_ZONA_2,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
10-01-0095-46,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PARTICULAR MIXTO LA ILUSTRACION,3A AVE. 4-92 ZONA 1,16396960,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,MARÍA ELENA ROCHA NAVARRO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,COLEGIO PARTICULAR LA ILUSTRACION,COLEGIO,COLEGIO PARTICULAR LA ILUSTRACION_3A_AVE._4-92_ZONA_1,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
10-01-0097-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO PERPETUO SOCORRO,1A CALLE 3-39 ZONA 1,16143250,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,SENAIDA ANAVELA BARRIENTOS CASEROS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,COLEGIO PERPETUO SOCORRO,COLEGIO,COLEGIO PERPETUO SOCORRO_1A_CALLE_3-39_ZONA_1,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
10-01-0098-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO DE COMPUTACION INFORMÁTICA,"COLONIA SAN BARTOLOME, 4A. CALLE FINAL",86799930,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,JOSÉ MARÍA RODRÍGUEZ TOMÁS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,INSTITUTO COMPUTACION INFORMATICA,INSTITUTO,"INSTITUTO COMPUTACION INFORMATICA_COLONIA_SAN_BARTOLOME,_4A._CALLE_FINAL",SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
10-01-0106-46,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO LATINOAMERICANO GOSPEL,"12 CALLE 4-45, ZONA 1",71911610,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,CLAUDIA ROSEMARY FIGUEROA XICAY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,COLEGIO LATINOAMERICANO GOSPEL,COLEGIO,"COLEGIO LATINOAMERICANO GOSPEL_12_CALLE_4-45,_ZONA_1",SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
10-01-0143-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO NUEVA FAMILIA,KILÓMETRO 1 CARRETERA A SAN FRANCISCO ZAPOTITLAN,87209240,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,DULCE ROSARIO AVILA TOJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,COLEGIO NUEVA FAMILIA,COLEGIO,COLEGIO NUEVA FAMILIA_KILÓMETRO_1_CARRETERA_A_SAN_FRANCISCO_ZAPOTITLAN,SUR,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
10-01-0150-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA MAZATENANGO,CANTON SANTA CRISTINA,11933170,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,ERIK DANIEL LEMUS JEREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ,INSTITUTO NACIONAL DIVERSIFICADA MAZATENANGO,INSTITUTO,INSTITUTO NACIONAL DIVERSIFICADA MAZATENANGO_CANTON_SANTA_CRISTINA,SUR,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
10-01-0161-46,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO ROSARIO,2A. AVENIDA 4-84 ZONA 1,15916150,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,CARLOS ALBERTO SARDÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ,COLEGIO ROSARIO,COLEGIO,COLEGIO ROSARIO_2A._AVENIDA_4-84_ZONA_1,SUR,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
