CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
08-01-0106-46,08-001,TOTONICAPAN,TOTONICAPAN,ESCUELA NORMAL NACIONAL RURAL DE OCCIDENTE GUILLERMO OVANDO ARRIOLA,ZONA 5 PARAJE PARRAMON,77661038,MIGUEL AJPOP VÁSQUEZ,OTTO GILBERTO AMADO TELLO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN,ESCUELA NORMAL NACIONAL RURAL OCCIDENTE GUILLERMO OVANDO ARRIOLA,ESCUELA,ESCUELA NORMAL NACIONAL RURAL OCCIDENTE GUILLERMO OVANDO ARRIOLA_ZONA_5_PARAJE_PARRAMON,OCCIDENTE,OFICIAL_BILINGUE_DIARIO(REGULAR)
08-01-0107-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO MIXTO PARTICULAR JUAN FRANKLIN,"3A. CALLE 12-08,  ZONA 2",77661920,MIGUEL AJPOP VASQUEZ,JOSÉ LUIS IXCAQUIC AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN,COLEGIO PARTICULAR JUAN FRANKLIN,COLEGIO,"COLEGIO PARTICULAR JUAN FRANKLIN_3A._CALLE_12-08,__ZONA_2",OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
08-01-0203-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,JUAN GILBERTO TZIC TZIC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN,COLEGIO LA FAMILIA,COLEGIO,COLEGIO LA FAMILIA_6A_AVENIDA_1-47_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
08-01-0212-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO EL SHADAI,"8ª. CALLE 5-00, ZONA 4",59238825,MIGUEL AJPOP VASQUEZ,JESÚS CRISTINA LÓPEZ TZOC,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN,COLEGIO EL SHADAI,COLEGIO,"COLEGIO EL SHADAI_8ª._CALLE_5-00,_ZONA_4",OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
08-01-0214-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUÁREZ RODRÍGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN,COLEGIO LA FAMILIA,COLEGIO,COLEGIO LA FAMILIA_6A_AVENIDA_1-47_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
08-01-0217-46,08-003,TOTONICAPAN,TOTONICAPAN,"INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA, KAKNO JIBAL",ALDEA CHUATROJ,57377254,OSCAR MOISÉS LACÁN ALVAREZ,VICTOR FELIPE BAQUIAX PUÁC,DIVERSIFICADO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN,"INSTITUTO DIVERSIFICADA POR COOPERATIVA, K'AK'NO' JIB'AL",INSTITUTO,"INSTITUTO DIVERSIFICADA POR COOPERATIVA, K'AK'NO' JIB'AL_ALDEA_CHUATROJ",OCCIDENTE,COOPERATIVA_MONOLINGUE_DIARIO(REGULAR)
08-01-0222-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO PRIVADO MIXTO LA FAMILIA,6A AVENIDA 1-47 ZONA 1,77667184,MIGUEL AJPOP VASQUEZ,HIGINIO DAVID JUÁREZ RODRÍGUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPÁN,COLEGIO LA FAMILIA,COLEGIO,COLEGIO LA FAMILIA_6A_AVENIDA_1-47_ZONA_1,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
08-01-0232-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,"9NA. CALLE ""A"" 08-043 ZONA 3",77663283,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),TOTONICAPÁN,CENTRO ESTUDIOS AVANZADOS TOTONICAPÁN,CENTRO,"CENTRO ESTUDIOS AVANZADOS TOTONICAPÁN_9NA._CALLE_""A""_08-043_ZONA_3",OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
08-01-0233-46,08-024,TOTONICAPAN,TOTONICAPAN,CENTRO DE ESTUDIOS AVANZADOS DE TOTONICAPÁN,"9NA. CALLE ""A"" 08-043 ZONA 3",47766328,MIGUEL AJPOP VASQUEZ,LUIS NERY MORALES GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),TOTONICAPÁN,CENTRO ESTUDIOS AVANZADOS TOTONICAPÁN,CENTRO,"CENTRO ESTUDIOS AVANZADOS TOTONICAPÁN_9NA._CALLE_""A""_08-043_ZONA_3",OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
08-01-0238-46,08-024,TOTONICAPAN,TOTONICAPAN,COLEGIO ADVENTISTA MARANATHA,4TA. CALLE 0-10 DE LA ZONA 2,77661520,MIGUEL AJPOP VASQUEZ,PATROCINIO ABELINO TZUL BARRENO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),TOTONICAPÁN,COLEGIO ADVENTISTA MARANATHA,COLEGIO,COLEGIO ADVENTISTA MARANATHA_4TA._CALLE_0-10_DE_LA_ZONA_2,OCCIDENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
