CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,NOMBRE_SIMPLIFICADO,TIPO_ESTABLECIMIENTO,ID_ESTABLECIMIENTO_FISICO,REGION,CLASIFICACION
19-01-0078-46,19-001,ZACAPA,ZACAPA,INSTITUTO DIVERSIFICADO ADSCRITO AL INSTITUTO DE EDUCACIÓN MEDIA EXPERIMENTAL CON ORIENTACIÓN OCUPACIONAL JOSÉ RODRÍGUEZ CERNA,"7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2, BARRIO LA REFORMA",79414031,SONIA HAYDEE RUIZ WONG,MARCO ANTONIO LÓPEZ RAMOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,INSTITUTO DIVERSIFICADO ADSCRITO AL EDUCACIÓN MEDIA EXPERIMENTAL CON ORIENTACIÓN OCUPACIONAL JOSÉ RODRÍGUEZ CERNA,INSTITUTO,"INSTITUTO DIVERSIFICADO ADSCRITO AL EDUCACIÓN MEDIA EXPERIMENTAL CON ORIENTACIÓN OCUPACIONAL JOSÉ RODRÍGUEZ CERNA_7A._AVENIDA_""A""_FINAL_Y_9A._CALLE_ZONA_2,_BARRIO_LA_REFORMA",ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
19-01-0079-46,19-001,ZACAPA,ZACAPA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES MIXTA NOCTURNA,4A. CALLE 16-10 ZONA 1. BARRIO EL CALVARIO,57129013,SONIA HAYDEE RUIZ WONG,ELMER OTTONIEL AVALOS MIGUEL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA,ESCUELA NACIONAL CIENCIAS COMERCIALES MIXTA NOCTURNA,ESCUELA,ESCUELA NACIONAL CIENCIAS COMERCIALES MIXTA NOCTURNA_4A._CALLE_16-10_ZONA_1._BARRIO_EL_CALVARIO,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
19-01-0084-46,19-001,ZACAPA,ZACAPA,INSTITUTO ADOLFO V. HALL DE ORIENTE,BARRIO CRUZ DE MAYO ZONA 3,39913254,SONIA HAYDEE RUIZ WONG,RAÚL ANIBAL PINEDA PEÑATE,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA,INSTITUTO ADOLFO V. HALL ORIENTE,INSTITUTO,INSTITUTO ADOLFO V. HALL ORIENTE_BARRIO_CRUZ_DE_MAYO_ZONA_3,ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
19-01-0086-46,19-019,ZACAPA,ZACAPA,CENTRO EDUCATIVO JUVENIL CATÓLICO NUESTRA SEÑORA DE FÁTIMA,12 CALLE A 14-03 ZONA 1,79410382,HUGO WILFREDO VARGAS CHACON,FIDIAS ROBERTO MONROY LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,CENTRO EDUCATIVO JUVENIL CATÓLICO NUESTRA SEÑORA FÁTIMA,CENTRO,CENTRO EDUCATIVO JUVENIL CATÓLICO NUESTRA SEÑORA FÁTIMA_12_CALLE_A_14-03_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
19-01-0116-46,19-001,ZACAPA,ZACAPA,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, INED","7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2 BARRIO LA  REFORMA",42053474,SONIA HAYDEE RUIZ WONG,MARCY JULISSA JIATZ ALONZO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,"INSTITUTO NACIONAL DIVERSIFICADA, INED",INSTITUTO,"INSTITUTO NACIONAL DIVERSIFICADA, INED_7A._AVENIDA_""A""_FINAL_Y_9A._CALLE_ZONA_2_BARRIO_LA__REFORMA",ORIENTE,OFICIAL_MONOLINGUE_DIARIO(REGULAR)
19-01-0149-46,19-019,ZACAPA,ZACAPA,COLEGIO BILINGÜE MONTESSORI,4TA. CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACON,MAGDA YOHANA SÁNCHEZ MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,COLEGIO BILINGÜE MONTESSORI,COLEGIO,COLEGIO BILINGÜE MONTESSORI_4TA._CALLE_3-41_ZONA_2,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
19-01-0160-46,19-019,ZACAPA,ZACAPA,COLEGIO PARTICULAR MIXTO LICEO CRISTIANO ZACAPANECO,12 AVENIDA Y 8A. CALLE ESQUINA ZONA 1,79410316,HUGO WILFREDO VARGAS CHACON,LUCY RAQUEL APARICIO ROLDÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,COLEGIO PARTICULAR LICEO CRISTIANO ZACAPANECO,COLEGIO,COLEGIO PARTICULAR LICEO CRISTIANO ZACAPANECO_12_AVENIDA_Y_8A._CALLE_ESQUINA_ZONA_1,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
19-01-0170-46,19-019,ZACAPA,ZACAPA,COLEGIO CRISTIANO VERBO ZACAPA,CALZADA RAMIRO DE LEÓN CARPIO A UN COSTADO DEL IGSS,58289369,HUGO WILFREDO VARGAS CHACON,LIDIA ISABEL PÉREZ VILLEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,COLEGIO CRISTIANO VERBO ZACAPA,COLEGIO,COLEGIO CRISTIANO VERBO ZACAPA_CALZADA_RAMIRO_DE_LEÓN_CARPIO_A_UN_COSTADO_DEL_IGSS,ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
19-01-0175-46,19-019,ZACAPA,ZACAPA,INSTITUTO TÉCNICO DE EDUCACIÓN INDUSTRIAL,"CIUDAD VICTORIA, BARRIO NUEVO",79415915,HUGO WILFREDO VARGAS CHACON,ALEJANDRA MARÍA PALACIOS GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,INSTITUTO TÉCNICO EDUCACIÓN INDUSTRIAL,INSTITUTO,"INSTITUTO TÉCNICO EDUCACIÓN INDUSTRIAL_CIUDAD_VICTORIA,_BARRIO_NUEVO",ORIENTE,PRIVADO_MONOLINGUE_DIARIO(REGULAR)
19-01-0183-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA,54138046,HUGO WILFREDO VARGAS CHACON,EDNA EDITH RAMÍREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,LICEO CRISTO REY,LICEO,LICEO CRISTO REY_8A._CALLE_9-06_ZONA_2_BARRIO_LA_REFORMA,ORIENTE,PRIVADO_MONOLINGUE_FIN_DE_SEMANA
