Nombre_Base,Nombre_Similar
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,ESCUELA NACIONAL DE CIENCIAS COMERCIALES NO.2
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,ESCUELA NACIONAL DE CIENCIAS COMERCIALES NO.5
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,ESCUELA NACIONAL DE CIENCIAS COMERCIALES NO. 3
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,ESCUELA NACIONAL CENTRAL DE CIENCIAS COMERCIALES
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,ESCUELA NACIONAL DE CIENCIAS COMERCIALES AMERICA
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,ESCUELA DE CIENCIAS COMERCIALES NOCTURNA
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÒN DIVERSIFICADA
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADO
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADO
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA, INED"
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA ITZAPA
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA -INED-
INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA PUENTE
COLEGIO CRISTIANO BILINGUE VERBO,COLEGIO CRISTIANO BILINGÜE VERBO
INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,INSTITUTO MIXTO DE EDUCACIÓN BILINGÜE INTERCULTURAL -IMEBI-
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA
COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA"
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA , PRONEA"
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,"PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA, PRONEA."
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA PRONEA,"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA, PRONEA"
ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-
ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACION EXTRAESCOLAR -CEEX-
ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR - CEEX
ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX
COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMATICA
COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA
LICEO PREUNIVERSITARIO DE NORTE,LICEO PREUNIVERSITARIO DEL NORTE
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÒN DIVERSIFICADA
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADO
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADO
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, INED"
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA- INED-
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA -INED-
INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACION EXTRAESCOLAR -CEEX-
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR - CEEX
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO DE EDUCACIÓN EXTRAESCOLAR CEEX
CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,ENBI CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-
